"spa","Comment"
"─Ese uniforme es súper guay.",""
"─¡Ya está! ¡Tengo una idea!
¿Por qué no actuamos vestidos así?",""
"─Hasta otra.
Vuelve cuando quieras a Balamb.",""
"Mecánico
─Oye, ¿no te gustaría ser mecánico?
{NewPage}
─Necesito un ayudante. La verdad
es que había pensado en alguien,
pero se fue.
{NewPage}
─Quién sabe, a lo mejor tienes
madera de mecánico y tú, sin saberlo.
¿Qué, te animas a probarlo?",""
"Mecánico
─Ya tengo un ayudante, pero
no me iría mal tener otro.
{NewPage}
─¿No quieres probarlo?",""
"Nuevo ayudante
─El jefe siempre me da la lata con
un tal Zell, pero yo no lo conozco.
{NewPage}
─Debe de ser un tipo extraordinario.",""
"Mecánico
─¡Maldita sea!
¡No funciona!",""
"Zell
─Pero ¿qué pasa?",""
"Mecánico
─Hombre, Zell. ¿Tú por aquí?
Llegas en buen momento.
{NewPage}
─Tengo problemas con esta pieza.
A ver si tú puedes sacarla.",""
"Zell
─Claro, enseguida.",""
"Zell
─Ya está.",""
"Mecánico
─Fantástico.
Ojalá fueras mi ayudante.
{NewPage}
─Va en serio, últimamente
lo he estado pensando.",""
"Zell
─Ja, ja, ja.
Siempre dices lo mismo.",""
"─Lo siento, pero
no he cambiado de opinión. Quiero seguir
ganándome la vida con los puños.",""
"Mecánico
─El otro día estuve hablando
con tu madre.
{NewPage}
─Me parece que está preocupada
por tu futuro.
{NewPage}
─Pero tratándose de tí, no hay
porqué preocuparse.
{NewPage}
─Seguro que llegas a ser el
mejor luchador del mundo.",""
"Mecánico
─Zell, dichosos los ojos.
Hacía mucho que no nos veíamos.
{NewPage}
─Mientras espero que te decidas
a trabajar conmigo, he contratado
a un nuevo ayudante.",""
"Nuevo ayudante
─Zell, por fin nos conocemos.",""
"Nuevo ayudante
─He oído hablar mucho de ti.",""
"Zell
─Todo malo, seguro.",""
"Mecánico
─Je, je, je.
Tú sabrás, muchacho. Si tú lo dices...",""
"Nuevo ayudante
─No me lo creo.
Aquí eres toda una leyenda.",""
"Quistis
─¿Qué clase de leyenda?",""
"{Rinoa}
─Vaya, resulta que Zell es famoso.
Cuenta, cuenta.",""
"Selphie
─¡Qué guay!
Cuéntanos sus aventuras...",""
"Irvine
─¿Ah, sí?
A ver si sus aventuras legendarias
son tan interesantes como las mías.",""
"Nuevo ayudante
─Sobre todo se lo conoce por
lo de las flexiones.",""
"─Se subía a ese cartel y hacía
100 flexiones colgado de la barra.
Eso sólo puede hacerlo Zell.",""
"Zell
─Ya se sabe, con este
cuerpo serrano...",""
"{Squall}
─......",""
"Irvine
─Tú ganas...
Yo no era tan estúpido...",""
"Quistis
─¿Ésa es la leyenda...?",""
"{Rinoa}
─... {Wait056}Típico de Zell.",""
"Selphie
─Ejem...",""
"─Cada día me sorprendes
más, Zell.",""
"Nuevo ayudante
─¡Por aquí esta historia
la conoce todo el mundo!",""
"Mecánico
─Bueno...
Se mire como se mire,
no hay dos como Zell.",""
"─Estoy tan contento de estar de vuelta.
Por un momento no sabía qué iba a pasar.",""
"─Primero, el “jardín” empieza a volar
y luego el ejército de Galbadia nos ataca.",""
"─¿Y luego, qué? ¿La bruja?
¿Monstruos? ¿Una catástrofe natural?",""
"Nuevo ayudante
─Jefe, el ejército de {Galbadia}
se ha retirado. También se han
llevado su “jardín”.",""
"─Gracias a todos por vuestra ayuda.
Seguro que ahora el jefe
descansará en paz.",""
"Mecánico
─¡Oye, tú!
¡No hables de mí como
si estuviera muerto!",""
"Nuevo ayudante
─¡¿Jefe?!
Me ha oído... ¡Perdone!",""
"Nuevo ayudante
─Estaba pensando que he aprendido
mucho reparando coches de {Galbadia}.",""
"─A lo mejor me especializo en eso.",""
"─Oye, Zell.
¿Conoces a una chica que lleva trenza?",""
"─El otro día me preguntó
cuál era tu casa.
{NewPage}
─A lo mejor quiere hablar
contigo de algo.",""
"─Juguemos a cartas.
Sí.
No.",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de
Fisherman's Horizon con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas del espacio 
con las nuestras?",""
"─Tío, veo que conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"Para poder jugar necesitas
como mínimo 5 cartas.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"«{Balamb}»",""
"«{Galbadia}»",""
"«{Trabia}»",""
"«{Centra}»",""
"«{Dollet}»",""
"«Fisherman's Horizon»",""
"«Espacio»",""
"«{Esthar}»",""
"«No hay reglas opcionales.»",""
"#bchtl_1","108"
"Recepcionista
─Bienvenido al Hotel Balamb.",""
"─Las habitaciones cuestan 100 guiles.
¿Desea alojarse con nosotros?
Sí.
No.",""
"Recepcionista
─Lo siento, señor, pero
no tiene bastante dinero.",""
"Botones
─Si necesita algo, no
dude en pedírmelo.",""
"─Hola, mucho gusto.
¿Qué te parece esta ciudad?
A mí me encanta.",""
"─Me gustaría vivir en un sitio
así cuando me jubile.",""
"─Incluso a lo mejor el ogro
de mi mujer dejaría de darme
la tabarra.",""
"Recepcionista
─El señor viene de {Galbadia}.",""
"─Me ha contado cosas fascinantes.
Es muy distinta de esta pequeña
ciudad, ¿no? Dicen que es la
capital de la moda.",""
"Recepcionista
─Lo siento. ¡Me he
olvidado del trabajo!",""
"─Me caes bien. La próxima
vez te traeré un regalo.",""
"─Ji, ji, ji.
Espero que volvamos a vernos.",""
"─La próxima vez, vuelva acompañado
de su esposa.",""
"─Estoy segura de que le gustará esta
ciudad tanto como a usted.",""
"─Espero que sí. Parece que
esa mujer ha nacido para quejarse.",""
"─Y yo he nacido para gastar dinero.
Me gustaría gastármelo en tí.",""
"─Ah, cartas.
Perdí todas las que tenía jugando
con el dueño.",""
"─Debo admitir que es un gran jugador.",""
"─¡Oye, {Squall}!
¡Espera! Mira...",""
"─¡Hey, hey, {Squall}!
¡Espera! Mira...",""
"Bibliotecaria con trenza
─Quería que lo leyeras.
Me alegro de haberte encontrado.",""
"Bibliotecaria con trenza
─Que... que lo ... yeras.
Me... gro de... te en... trado.",""
"Zell
─Pero si yo... bueno... ejem...
Yo no soy de los que leen libros, sabes.
Además, no puedo estarme quieto.",""
"Zell
─... ro si... bue... ejem...
Yo no... de los... leen... bros, sa...
Ade... no... do es... me... to.",""
"Bibliotecaria con trenza
─Ji, ji, ji.
Ya lo sé, ya lo sé.
Por eso he elegido este libro.",""
"Bibliotecaria con trenza
─Ji, ji...
... lo sé... lo...
Por... so he... gido... te li...",""
"Zell
─¡É... éste es...!",""
"Bibliotecaria con trenza
─Cada vez que abras el libro...
Quiero decir... de vez en cuando...",""
"Bibliotecaria con trenza
─Ca... vez... ras el... bro...
... ero de... de... en cuan...",""
"─Piensa en mí, aunque
sólo sea un poquito.",""
"─... ensa en... aun...
sólo... un... quito.",""
"─Eso me haría muy feliz...",""
"─E... me... ría muy... liz...",""
"Zell
─......",""
"Bibliotecaria con trenza
─Lo siento, pero
tenía que decírtelo.",""
"Bibliotecaria con trenza
─Lo... ento... ro
te... que... cír... lo.",""
"─Por favor, cuídate mucho.",""
"─... fa... cuí... te mu...",""
"Zell
─{Squall}, te estaba esperando.
¿Vamos?",""
"¡Has obtenido la revista “Karateka” 003! ",""
"(Vaya, no puedo oír de qué hablan.)",""
"#bcmin1_1","112"
"Niña
─Hablábamos de lo grande
que es el mundo.",""
"Niña
─Tiene que ser maravilloso...",""
"Niña
─Viajar por el mundo y
visitar muchos lugares diferentes.",""
"─Últimamente me tiemblan las manos.",""
"─Me da la sensación de que
cada vez me costará más pescar.",""
"─Cuando era joven solía pescar
muchos besugos de Balamb y los
compartía con este gato.",""
"─Érase una vez, cuando se creó
este mundo, un dios muy poderoso
que se llamaba Xian.",""
"Niña
─Sigue, sigue.",""
"─Era un dios muy fuerte, muy fuerte,
pero después de luchar con muchos
monstruos se cansó.",""
"─Por eso decidió crear a gente como tú
y como yo, para que trabajaran por él,
y así el pudo echarse a dormir.",""
"Niña
─¿Se echó a dormir?",""
"─Así es. Pero cuando se despertó, se
llevó una gran sorpresa al descubrir
que había muchísima gente en el mundo.",""
"Niña
─Es verdad, en el mundo
hay mucha gente.",""
"─Entonces decidió reducir la cantidad
de gente haciendo algo terrible:
eliminando a los niños.",""
"Niña
─¿A los niños como yo?",""
"─Así es. ¡Qué miedo, verdad!{Wait016}
La gente de aquella época también
tenía mucho miedo.",""
"─Empezó la batalla contra Xian.
Los humanos eran pequeños pero
listos, y llevaban la ventaja.",""
"Niña
─¡Qué emocionante!",""
"─¿Y sabes qué hizo Xian?
Desesperado, dio la mitad de su cuerpo a
los humanos y escapó con la otra mitad.",""
"Niña
─¿Y eso cómo es posible?",""
"─Porque era un dios, los dioses lo
pueden todo.{Wait016} Pero la verdad es
que Xian engañó a la gente.",""
"─Y escapó con la mitad que tenía
todos los poderes mágicos.",""
"Niña
─Vaya...{Wait032}
¿Y hoy todavía no han encontrado
la otra mitad?",""
"─Lo has acertado.
Quién sabe, quizás esté cerca de aquí.
A lo mejor te está mirando...",""
"─¿Quieres que te cuente otro cuento?
¿Uno de risa?
¿O uno de miedo?",""
"Niña
─¿Eres un Seed, verdad?",""
"─Entonces llévate al pesado
de al lado.",""
"─Hoy a vuelto a darme un susto
en la calle en pendiente.",""
"Niño
─Estamos mirando
un atlas del mundo.
{NewPage}
─¡Qué pequeño es nuestro
país comparado con el resto!",""
"─Mira este mapa.
Ésta es la gran potencia de
{Galbadia}, éste el misterioso {Esthar}...",""
"─Y aquí está {Centra}, el
continente abandonado...",""
"Niño
─Me pregunto cómo se formó
este mundo...",""
"Niño
─Me gustaría saber la verdad que
hay detrás de los libros de historia.",""
"Niña
─Yo también quiero jugar
,a las cartas, pero no tengo.",""
"─A ver si mi papá me
da las suyas pronto.",""
"Niño travieso
─¡Este mundo
es enorme!",""
"─Aquellos soldados que estuvieron
aquí eran de un país que se
llama {Galbadia}.",""
"Niño travieso
─Cuando sea mayor seré como tú, Zell,
y lucharé contra los malos de otros países.",""
"Niño
─Aquí está {Galbadia}, el país que
invadió {Balamb} hace poco.",""
"─¿Has visto que grande es el Jardín
de {Galbadia} que vuela por el cielo?",""
"Niño
─Antes el Jardín de {Balamb} y
el de {Galbadia} eran refugios.",""
"Niña
─El Jardín de {Galbadia} vino
de muy lejos, ¿verdad?",""
"Niña
─Espero que no vuelvan nunca más.",""
"Niña
─Mis padres vuelven
a estar en el hotel.",""
"─Les ayudé a limpiar.",""
"Niña
─¿Por qué no os alojáis allí?
Es muy bonito.",""
"Abuelo
─Después de todo lo que ha pasado,
podemos considerarnos afortunados
de estar todos bien.",""
"─Me alegro de ver que vosotros
también estáis bien.",""
"─Éstas son las cartas de papá, pero 
si quieres podemos jugar un ratito.
Sí.
No.",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de
Fisherman's Horizon con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas del espacio 
con las nuestras?",""
"─Anda, qué guay, conoces reglas de
otras regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"Para poder jugar necesitas
como mínimo 5 cartas.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"«{Balamb}»",""
"«{Galbadia}»",""
"«{Trabia}»",""
"«{Centra}»",""
"«{Dollet}»",""
"«Fisherman's Horizon»",""
"«Espacio»",""
"«{Esthar}»",""
"«No hay reglas opcionales.»",""
"#bcmin2_1","114"
"Zell
─Hola, mamá.",""
"Señora Dincht
─¡Zell! ¡Qué sorpresa!
¿Éstos son tus amigos?",""
"Zell
─Ésta es mi casa. Cuidadito con lo
que hacéis o lo que tocáis, tíos.",""
"Señora Dincht
─Estoy contenta de ver que
Zell tiene buenos amigos.",""
"Señora Dincht
─¿Sois amigos de Zell?
Habéis venido del “jardín”, ¿verdad?",""
"{Squall}
─Zell...",""
"─Si ves a un tipo con pinta 
de camorrista que se llama Zell,
sé amable con él.",""
"Señora Dincht
─Zell, ¿cómo es que has venido?
¿Estás de vacaciones?",""
"Zell
─No, es una clase al aire libre.",""
"Señora Dincht
─A ver si vienes más a menudo,
aunque sea por poco tiempo.",""
"Señora Dincht
─Hoy también está aquí el niño travieso.
Ve a saludarlo, eres su ídolo.",""
"Señora Dincht
─Poneos cómodos, como si
estuvierais en vuestra casa.",""
"─¿Cómo está mi niño travieso?",""
"Zell
─Hola, ¿qué tal?",""
"─Hombre, Zell.
Cada vez que te veo estás más fuertote.",""
"Zell
─Bueno... Me he estado
entrenando por todo el mundo, ¿sabes?",""
"─Eso está muy bien, pero...",""
"─Aquí en Balamb todos tenemos que
aguantarlo a mi hijo...
{NewPage}
─Tú eres su ídolo y siempre te
está imitando. ¡Es un terremoto!",""
"─Incluso intenta hablar como tú...
{NewPage}
─Cuando habla de mí con sus amiguetes,
me llama “mi vieja” y todo.",""
"Zell
─¿Insinúas que
es culpa mía?",""
"Zell
─Bueno...{Wait016}
Supongo que sí.",""
"─No es que sea culpa tuya, pero...",""
"─No sé qué voy a hacer con él.",""
"─Ahora que trabajo, tu
madre se encarga de él.",""
"─A veces es tan difícil controlarlo...
Es un auténtico terremoto.",""
"Señora Dincht
─Tranquila, estoy muy
acostumbrada a los terremotos.",""
"─Tú no te preocupes
y trabaja tranquila.",""
"─Siento causarte tantas molestias.
Te estoy muy agradecida.",""
"─Zell, ¿tú no estarás causando
molestias a nadie, verdad?",""
"{Squall}
─¿......?",""
"─Hey... Hay una rana
en el paragüero.",""
"Zell
─¿En serio?
A mi vieja le dan mucho asco las ranas.",""
"{Squall}
─Ese cuadro...",""
"─Hay algo dibujado encima en un borde.
¿Por qué no lo borran?",""
"Zell
─¡¿Qué dices?! ¡Pero si es mi obra
maestra de cuando era un crío!",""
"Zell
─Hey, {Squall}.",""
"─Ésa es mi habitación.
Es sagrada, nadie puede entrar.",""
"Señora Dincht
─Arriba está la habitación de Zell.
No le gusta que entre nadie, por eso
te agradecería que no entraras.",""
"Señora Dincht
─Hola, Zell.
¿Estás bien?",""
"Zell
─......",""
"Señora Dincht
─Por fin las aguas han
vuelto a su cauce en Balamb.",""
"─Supongo que no has venido
para quedarte, ¿verdad, Zell?",""
"Señora Dincht
─Quiero agradeceros todo lo
que habéis hecho por Balamb.",""
"Zell
─Mamá, ¿ha venido alguien preguntado
por mí? ¿Una chica con trenza?",""
"Señora Dincht
─¿Qué? Has vuelto muy revolucionado...{Wait056}
No, no ha venido nadie.",""
"Señora Dincht
─Así que va a venir otra amiga tuya.
Tengo ganas de conocerla.",""
"Zell
─Qué raro...",""
"─Hola, ¿ya juegas mejor a las cartas?
Sí.
No.",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de
Fisherman's Horizon con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas del espacio 
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"Para poder jugar necesitas
como mínimo 5 cartas.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"«{Balamb}»",""
"«{Galbadia}»",""
"«{Trabia}»",""
"«{Centra}»",""
"«{Dollet}»",""
"«Fisherman's Horizon»",""
"«Espacio»",""
"«{Esthar}»",""
"«No hay reglas opcionales.»",""
"#bcmin2_2","116"
"─¿Qué es esto?",""
"¡Has obtenido una Dosis de RAP!",""
"─¡El enano lo ha escondido aquí!
A veces tiene buenas salidas.",""
"#bcmin2_3","118"
"Niño travieso
─¡Qué rollo! Yo aquí sin nada que hacer.
Tengo unas ganas de ver a Zell...",""
"Niño travieso
─¡Zell!",""
"Zell
─Buenas.
¿Qué tal, enano?",""
"Niño travieso
─Zell, ¿sabes que tu madre
hoy también se encarga de mí?",""
"─Me estoy portando muy bien.
Es que tu madre, cuando se enfada...",""
"─Es tan brava como la mía. Y ahora
que estás aquí, tendría que aguantarme
también tus golpes...",""
"─Entre los dos me dejaríais fuera
de combate enseguida.",""
"Niño travieso
─Estoy haciéndome el muerto.",""
"Niño travieso
─Las siestas son demasiado aburridas.",""
"Niño travieso
─¡Hoy me he
portado muy bien!",""
"Niño travieso
─......",""
"─Lo único que he hecho
ha sido traer una rana.",""
"─Sólo he puesto mi firma.
Dicen que si están firmados tienen
mucho más valor, ¿no?",""
"─¡Ah, sí! También he encontrado
una cosa muy chula.",""
"─La he escondido debajo
de tu almohada.",""
"Niño travieso
─Todo lo que he hecho
hoy es “top secret”.",""
"Niño travieso
─¡Es un secreto!",""
"Una vieja revista, 【Timber Maniacs】...
{Wait016}...{Wait016}...{Wait016}...{Wait016}...... ¡No, no lo era!",""
"─¡Cartas, cartas, cartas!
Sí.
No.",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de F. H.
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas del espacio
con las nuestras?",""
"─Qué pasada, conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"Para poder jugar necesitas
como mínimo 5 cartas.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"«{Balamb}»",""
"«{Galbadia}»",""
"«{Trabia}»",""
"«{Centra}»",""
"«{Dollet}»",""
"«Fisherman's Horizon»",""
"«Espacio»",""
"«{Esthar}»",""
"«No hay reglas opcionales.»",""
"#bcport_1","120"
"{Squall}
─¿Es aquella embarcación...?",""
"Seifer
─Ya no hay marcha atrás, eh.",""
"─¿Qué pasa?
¿El nene tiene miedo?",""
"Seifer
─No me decepciones.",""
"Quistis
─¡Venga, rápido!",""
"Empleado del “jardín”
─¡Rápido! Vosotros sois los últimos.
¡Subid deprisa!",""
"Empleado del “jardín”
─¡Subid al barco de una vez!
",""
"Empleado del “jardín”
─Ya veo, sois el equipo problemático,
el equipo B. No me extraña, con una
instructora tan joven.",""
"Quistis
─¡Date prisa, {Squall}!",""
"Zell
─¡Hey, hey!",""
"Zell
─¡¿Otra vez lo mismo?!
Ese tío siempre va a su bola.",""
"{Squall}
─Tendremos que ir andando.",""
"#bcport_2","123"
"Empleado del “jardín”
─Ya veo que sois el equipo B, el
problemático. No me extraña, con
una instructora tan joven.",""
"Empleado del “jardín”
─¿Adónde crees que vas?",""
"Quistis
─Venga, subid al barco. ¡Rápido!",""
"Quistis
─A partir de ahora tenéis tiempo libre.
{NewPage}
─Podéis ir de compras o reuniros para
comentar cómo ha ido todo. Aunque yo os
recomiendo que volváis pronto y descanséis.",""
"Quistis
─Buen trabajo.",""
"─¡Seifer!",""
"Trueno
─¿Qué tal te ha ido?",""
"Seifer
─No han hecho más que
darme problemas.
{NewPage}
─Es duro ser jefe de equipo.",""
"Viento
─¿Ileso?",""
"Quistis
─Buen trabajo, chicos.",""
"Quistis
─¿Y Seifer?",""
"Quistis
─Estáis libres hasta al anochecer,
entonces tenéis que volver al “jardín”.",""
"─¡Romped filas!",""
"─¡Qué bonito es el mar!
Es muy diferente del de mi ciudad
natal, éste es el auténtico.",""
"─El mar de mi ciudad está
totalmente contaminado con aceite.",""
"─Supongo que si lo ves cada día,
no aprecias los cambios.",""
"─Me he dado cuenta ahora, al ver
por primera vez unas aguas tan azules
y tan cristalinas como éstas.",""
"─¡Es tan bonito!",""
"─Seguro que en el mundo hay muchas
más cosas que van perdiendo el color
sin que nos demos cuenta.",""
"─Vine a Balamb porque me dijeron
que aquí se pesca una variedad de
pez muy especial.",""
"─Soy cocinero, pero últimamente se me
han agotado las buenas ideas.",""
"─He oído hablar mucho del sabrosísimo
besugo de Balamb, pero parece ser que
en esta zona hay muchos verdugos
de Balamb.
{NewPage}
─Son aquellos peces que hacen que
se te entumezca todo el cuerpo.",""
"─Estoy buscando la manera de
cocinarlos, pero no se me ocurre nada.",""
"─¿Sois de por aquí?
¿Qué tipo de comida os gusta?",""
"Selphie
─¡A mí, me encantan
los pasteles de la Tía Moguri!",""
"─Tienen tanta fruta confitada
y esa capa de nata... Ñam, ñam.
¡Están buenísimos!",""
"─Siempre me como uno
así de grande.",""
"Selphie
─...{Wait048}¡Tengo una idea! La próxima vez,
¿por qué no nos haces un pastel?",""
"─¡Yo lo probaré la primera!",""
"─No hablaba de pasteles, me
refería a platos con pescado.",""
"─Me gustaría mucho poder hacer sonreír
con mis platos a las chicas tan 
guapas y tan simpáticas como tú.",""
"─¡Eureka!
¡Intentaré hacer un pastel
con verdugo de Balamb!",""
"{Squall}
─¿Hm?",""
"¡Con la extracción has recibido
{Var01} guiles!",""
"─¿Juegas a cartas?
Sí.
No.",""
"─Parece que conoces reglas distintas a
las de mi ciudad natal. ¿Por qué no jugamos
combinando las reglas mi ciudad
con las de {Balamb}?",""
"─Parece que conoces reglas de otras
regiones. ¿Por qué no jugamos combinando
las reglas de {Galbadia} con las nuestras?",""
"─Parece que conoces reglas de otras
regiones. ¿Por qué no jugamos combinando
las reglas de {Trabia} con las nuestras?",""
"─Parece que conoces reglas de otras
regiones. ¿Por qué no jugamos combinando
las reglas de {Centra} con las nuestras?",""
"─Parece que conoces reglas de otras
regiones. ¿Por qué no jugamos combinando
las reglas de {Dollet} con las nuestras?",""
