"ita","Comment"
"{Yellow}【 La grande avventura】{White}
Rapporto!
○Eccezionale!
Siamo andati ad Esthar!
E io, per prima ho guidato l'astronave
Lagunarock!
{NewPage}
I mostri sono caduti dalla luna...
La grande, grande Lunatic Pandora...
Una sensazione indescrivibile...",""
"{Yellow}【Bentornata {Rinoa}】{White}
Siamo andati tutti ad accogliere {Rinoa}.
{Squall}, {Rinoa}, io e tutti quanti
eravamo veramente felici!
{NewPage}
Credo di assomigliare un po' a {Rinoa},
non credete? Sì, ci muoviamo in modo
diverso, però abbiamo qualcosa in comune.
Strega o no, una persona si vede
da quello che fa.
{NewPage}
Probabilmente ci sono tante buone
streghe, io ne conosco una.
Presto ne conoscerò 2 e sono sicuro
che anche l'altra è buona.",""
"{Yellow}【L'attesa】{White}
Conoscerò Laguna!
Non vedo l'ora!",""
"{Yellow}【Credere】{White}
Amore e amicizia, una piano coraggioso.
Il piano del Signor Laguna.
Un piano meraviglioso.
Io credo!
Credo in questo piano!
Andiamo!!",""
"Questa è la pagina dei miei interessi.
Ho visto Laguna per la prima volta quando
ero giovane. Era una comparsa in un film.
Non si è visto molto nel film ma era 
veramente bello.
Non mi ricordo che film fosse!
Aiutatemi!!",""
"Vedo il seguito
No",""
"Quando troverai Timber maniacs
dimmelo!!",""
"Non riesco a trovare
Timber maniacs!",""
"Laguna ha scritto un articolo su quando
lavorava alla redazione Timber Maniacs.
{NewPage}
Scrisse un articolo intitolato: ‘L'alcool
cambia la vita della gente', ma venne
cestinato. Laguna era astemio!",""
"Secondo l'articolo, Laguna per trovare i
soldi per viaggiare si mise a giocare
{NewPage}
d'azzardo ma perse tutto. Racconta
infatti di quanto pericoloso sia il
gioco d'azzardo.
Credo che questa storia l'abbia
fatto riflettere.",""
"In uno dei suoi articoli Laguna scrive
di quando cercò di andare ad Esthar.
{NewPage}
Provò numerosi modi ma alla fine nessuno
funzionò e si ritrovò a Dollet.
{NewPage}
Ma non c'è nessun modo da Dollet per
andare a Esthar. Povero Laguna!",""
"Non capisco questa foto.
Laguna ha scritto ‘Il segreto di Esthar'.
{NewPage}
Però a me questo luogo sembra familiare.
È il posto che Laguna ha presidiato.
{NewPage}
Chissà se valeva la pena pubblicarla?
Forse all'epoca non aveva soldi!",""
"Questo è un albergo di Timber.
È pieno di soldati di Galbadia.
{NewPage}
È un albergo che esiste ancora.
Anche adesso ci sono tanti soldati.
{NewPage}
La fotografia è stata scattata quando
Timber era stata occupata da Galbadia.
{NewPage}
Laguna voleva fermarsi in quest'albergo ma
era usato come alloggio per i soldati.
{NewPage}
Perché tanti articoli di quel periodo?
{NewPage}
Perché era il periodo in cui Laguna
scriveva articoli.
{NewPage}
Infatti tutte le riviste di Laguna
sono vecchie e rovinate.
{NewPage}
Quanti anni avrà adesso Laguna?
È un uomo veramente affascinante!",""
"E questo?
Un articolo di Laguna su Esthar.
{NewPage}
Vuol dire che alla fine c'è riuscito
ad arrivare, allora......
{NewPage}
Sarà una foto vera?
Questa città è magnifica!
{NewPage}
Ma ho sentito che nel continente dove
dovrebbe trovarsi Esthar non c'è
più niente......",""
"Secondo Laguna, egli arrivò qui quando
si perse nel continente di Esthar.
{NewPage}
Chissà se era tutto intero quando arrivò?
Questa città è incredibile!
{NewPage}
Vorrei andarci anch'io.
Sì voglio andarci!",""
"Mah, questa foto la conoscete tutti!
È l'albergo di Balamb!
{NewPage}
Laguna è venuto anche a Balamb.
A Laguna devono piacere molto gli alberghi.
{NewPage}
Secondo l'articolo avrebbe voluto fermarsi
ma era senza soldi.
{NewPage}
Non ha potuto provare il famoso pesce di
Balamb.",""
"Questa è proprio bella!
Laguna amico del popolo degli Shumi!
{NewPage}
Secondo l'articolo, fu trovato ferito
e portato al villaggio.
{NewPage}
Cose del genere gli capitano spesso, ma
è uno che restituisce le gentilezze.
{NewPage}
{Squall} mi ha detto che anche il Master
di Balamb apparteneva a quel popolo.
{NewPage}
Vorrei proprio vederli, questi Shumi!",""
"Eccezionale!
Laguna, attore in un film!
{NewPage}
Questo scenario mi ricorda Trabia.
Se avesse seguito questa strada, forse
{NewPage}
Laguna sarebbe diventato davvero famoso!
Mah...non era così bravo a recitare.
{NewPage}
In questo articolo parla molto bene di se.
Gli avranno offerto altre parti, poi?
{NewPage}
E Ward, che fine ha fatto?
Come mai non si vede?",""
"Questo è qualcosa di speciale,
l'entrata alle rovine di Centra.
{NewPage}
Potete vedere anche me nella foto?
C'è una statua di una maga e un cavaliere
veramente molto bella, ma ci sono anche
migliaia di mostri intorno!",""
"Guardate qua.......
Laguna doveva essere orgoglioso
di questo articolo.
{NewPage}
Un pub, e la padrona del pub.
Non c'è nessuna indicazione sul posto,
{NewPage}
ma io credo di sapere dove sia.
Però per rispetto della volontà
di Laguna non lo dico.
{NewPage}
Ma se è una foto così importante
non avrebbe dovuto pubblicarla.
{NewPage}
Forse ne era molto orgoglioso.",""
"Laguna finalmente ad F.H.!
In seguito arriverà ad Esthar
{NewPage}
seguendo la strada da F.H.
All'epoca non c'erano più treni così
{NewPage}
Laguna deve essersela fatta a piedi.
Avrei voluto salire sul treno di F.H.!
{NewPage}
Sembra che Laguna fosse felice di poter
percorrere quella strada a piedi.",""
"#bgryo2_2","246"
"",""
"",""
"Selphie
“È il nostro 1°lavoro come SeeD.”
{NewPage}
“Ci mandano a {Blue}【{Timber}】{White}
 Ci vediamo ai {Blue}【cancelli d'entrata】{White}.”
{NewPage}
“Cambiati e vieni, muoviamoci!”",""
"{Squall}
“Ho sonno......”",""
"(Che noia......)",""
"(Ma cosa stanno facendo tutti?)",""
"【Save Point】
Per salvare la situazione di gioco
scegliere ‘Salva' dal menu.",""
"Ottenuto: ‘Armi mese' n°4!",""
"“Hai sconfitto le 4 figure.”",""
"“Sei stato abile!”",""
"Quistis
“Hai sconfitto il Supremo
 guardiano del gruppo CC.”",""
"Quistis
“Sono io, Quistis Trepe!
 Mi presento a te in uniforme!”",""
"Quistis
“Davvero {Squall}, sei incredibile.
 Come hai fatto a diventare così
 forte in così poco tempo?”",""
"Quistis
“Aspettavo da molto questo
 momento. Giochiamo!”",""
"Quistis
“Incredibile, ho perso...”
{NewPage}
“Ma non cantare vittoria,
 hai vinto 1 volta sola.”
{NewPage}
“Combatteremo ancora in
 futuro, come eguali rivali!”",""
"Quistis
“Come pensavo, te
 la cavi molto bene.”
{NewPage}
“Possiamo giocare
 ancora se lo vuoi.”",""
"Quistis
“He he he, devi farne
 di strada per battermi!
 Pensavo te la cavassi meglio.”",""
"Quistis
“Incredibile, prima vuoi giocare
 e poi ti lasci battere così?”",""
"Quistis
“Se vuoi, ci scontreremo di nuovo
 al ponte di comando del Garden.”",""
"Quistis
“Ci vediamo dopo {Squall}.”",""
"Quistis
“Cosa stai dicendo? Vuoi giocare
 anche se non hai carte sufficienti?
 Non ti capisco!”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Balamb}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Galbadia}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Trabia}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Centra}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Dollet}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di F.H.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Balamb}.
 Mischiamole con le nostre e giochiamo.”",""
"Quistis
“Ehi {Squall}, sembra che tu
 conosca anche le regole di {Esthar}.
 Mischiamole con le nostre e giochiamo.”",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"“{Balamb}”",""
"“{Galbadia}”",""
"“{Trabia}”",""
"“{Centra}”",""
"“{Dollet}”",""
"“F.H.”",""
"“Spazio”",""
"“{Esthar}”",""
"“Senza regole a scelta.”",""
"#bgryo1_8","244"
"",""
"#bgbook1b","147"
"“Prima degli esami
 i libri non si
 trovano mai.”",""
"“Infatti pensavo di prenderli
 in prestito già da adesso.”",""
"“Zell!
 Zell aspetta!”",""
"“Noi siamo del...”",""
"“‘Comitato sondaggi su Zell'!”",""
"“COOOSA!?”",""
"Membro comitato Zell
“Rispondi alle nostre domande
 senza pensarci su.”",""
"“Prima domanda:
 colore preferito?”",""
"Zell
“EHHH!?{Wait048}
 All{Wait048}ora...”",""
"Il rosso di questa giacca
Il blu di questi pantaloni
Rosa. Ma non ditelo a nessuno!",""
"“OKKAY!
 Rosso fuoco!”",""
"“OKKEY!
 Blu mare!”",""
"“Eh? Rosa?
 Mah...i gusti sono gusti!”",""
"Membro comitato Zell
“Seconda domanda:
 piatto preferito?”",""
"Zell
“Dunque il mio piatto preferito è...”
 Carne
 Pesce
 Panini",""
"“Uh! Hai proprio la faccia
 di uno che mangia solo carne!”",""
"“Oh certo! Vicino casa tua
 c'è il porto, il pesce sarà buono!”",""
"“Lo sapevo che andavi
 pazzo per i panini!”",""
"Membro comitato Zell
“Terza domanda:
 che tipo di ragazza ti piace?”",""
"Zell
“EHHH!?{Wait096}
 ......uhm...vediamo...”",""
"“Allora, mi sbaglio o voi dovreste
 lavorare qui dentro invece di
 chiacchierare con gli studenti!?”",""
"Bibliotecaria
“Uffa...proprio nel
 momento più bello!”",""
"Bibliotecaria
“Accidenti!
 Dobbiamo proprio scappare!”",""
"“Grazie Zell!
 Ci vediamo presto!”",""
"Zell
“V-Va be-bene...”",""
"SeeD snob
“Il libro che m'hai consigliato l'altra
 volta era molto interessante.”",""
"“Consigliamene un altro,
 sono veloce a leggere, io!”",""
"Ragazza con la treccia
“Sono contenta che ti sia piaciuto.
 Ok, te ne troverò un altro,
 mi piace cercare libri per la gente.”",""
"“Vorrei che tutti leggessero anche
 solo una parte di un libro che
 rimarrà per sempre nel cuore.”",""
"Bibliotecaria
“Vorresti soprattutto che un certo
‘qualcuno' lo leggesse, vero?”",""
"Ragazza con la treccia
“Ma c-che dici?”",""
"SeeD snob
“Un certo qualcuno?
 Di chi stai parlando?”",""
"“Non ti preoccupare...{Wait056}
 Faccio il tifo per te!”",""
"Ragazza con la treccia
“Ho paura che non gli piaccia il
 libro che ho scelto per lui.”",""
"“In biblioteca non c'è quasi mai
 e questo luogo non fa certo per lui.{Wait048}
 C-cioè{Wait032} non f-fraintendermi...”",""
"Bibliotecaria
“È arrivata la nuova serie che
 cercavi. Piace molto anche a me.”",""
"“Se passi ogni tanto
 in biblioteca, troverai
 i numeri nuovi usciti.”",""
"SeeD snob
“Ah, perfetto!
 Passerò sicuramente.”",""
"“Vengo in biblioteca perché
 non ho niente da fare.”",""
"“N-No no! Non vengo solo perché
 la bibliotecaria è carina.”",""
"Ottenuto: ‘L'occulto I'!",""
"“Giochiamo a carte...?”
 Sì
 No",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Balamb
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Galbadia
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Trabia
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Centra
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Dollet
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di F.H.
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole dello spazio
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Esthar
 con quelle di questa zona.”",""
"Non puoi giocare se
non hai almeno 5 carte.",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"“{Balamb}”",""
"“{Galbadia}”",""
"“{Trabia}”",""
"“{Centra}”",""
"“{Dollet}”",""
"“F.H.”",""
"“Spazio”",""
"“{Esthar}”",""
"“Senza regole a scelta”",""
"“TU sfidi ME a carte? Sicuro?”
 Sì
 No",""
"Non puoi giocare se
non almeno 5 carte.",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Balamb
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Galbadia
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Trabia
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Centra
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Dollet
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di F.H.
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole dello spazio
 con quelle di questa zona.”",""
"“Usi regole diverse dalle nostre.
 Mischiamo le regole di Esthar
 con quelle di questa zona.”",""
"#bgsido_9","259"
"",""
"",""
"",""
"Nida
“Guarda!”",""
"Nida
“Cosa pensi succederà?”",""
"(Credo che loro sappiano dove siamo.
 Altrimenti faremo noi la prima mossa)",""
"{Squall}
“Non possiamo evitare di combattere.”",""
"Nida
“La strega è là sopra, vero?
 Questa è la battaglia finale?”",""
"{Squall}
“......lo spero.”",""
"(Cosa faccio?
 Do gli ordini? È il mio compito)
{NewPage}
(Cerco di dare meno ordini possibili
 per evitare complicazioni......)",""
"(......Cosa dovrei dire?
 Non c'è molto tempo ormai!)",""
"(Non ho ordini da dare)
(Cosa penso di tutto ciò)
(La direzione del Garden)
(Preparazione all'attacco)
(Preparazione alla difesa)
(Gli amici)
(I panini della mensa)
(Le matricole)",""
"Nida
“{Squall}.
 Quando avrai deciso che
 ordini dare, fammelo sapere.”",""
"{Squall}
«È {Squall} che vi parla»
{NewPage}
«Questa è un emergenza,
 ascoltate bene!»",""
"{Squall}
«Stiamo per scontrarci
 con il Garden di {Galbadia}»",""
"«Non ho nessun ordine preciso
 da dare. Preparatevi alla
 battaglia e buona fortuna»",""
"«Seifer è dalla parte dei nemici.
 In questa battaglia metteremo
 fine anche la questione con lui»",""
"«Il Garden procederà a tutta forza.
 Nel caso vengano pianificate
 manovre eversive, diminuite
 la velocità del 50%»",""
"«Seconda squadra, al garage»
{NewPage}
«Terza squadra MG, al ponte del
  2°piano. Attendete istruzioni
 e preparatevi al combattimento»",""
"«I nemici tenteranno di salire a bordo»
«Concentrate le forze all'entrata
 e al giardino della scuola»",""
"«Quistis, Zell, Selphie!
 Andate al ponte»",""
"«Gli Allievi con l'ID terminante per
 8, si prendano cura delle matricole»",""
"(E poi......cosa manca?)",""
"«Parla la dott.ssa Kadowaki.
 Ho ulteriori richieste da fare»",""
"«Gli Allievi con l'ID terminante per
 8 si prendano cura delle matricole»",""
"Dott.ssa Kadowaki
“{Squall}, è tutto Ok?”",""
"Nida
“Non hai esagerato coi discorsi?”
{NewPage}
“Tutti si scaglieranno in guerra come
 belve. Bastava qualche suggerimento!”",""
"Nida
“Istruzioni per la squadra d'attacco?”",""
"Nida
“Istruzioni per la squadra di difesa?”",""
"Nida
“Ordini per la squadra
 d'attacco e di difesa?”",""
"(Ma cosa sto pensando!?)",""
"Irvine
“Ehi, ehi, ehi!
 Perché non sono stato invitato?”",""
"Irvine
“{Squall} ti prego.”",""
"(Scendo)
(Resto qui)",""
"Nida
“Guarda!”",""
"Nida
“Seifer comanda l'armata nemica.
 Ci stanno venendo addosso!”",""
"{Squall}
“Continua in questa direzione!”",""
"{Squall}
“Inizia l'attacco!”",""
"Zell
“Sono guerrieri professionisti.
 Salgono sul Garden con le moto.”",""
"{Squall}
“Tieni duro!
 Arriviamo subito!”",""
"Nida
“Noooo, ci sbatteremo contro!”",""
"{Squall}
“A destra!”",""
"{Squall}
“Dateci una mano!”",""
"{Squall}
“Ehi.”",""
"{Squall}
“Prendo il comando della squadra
 d'attacco! Tieni questa postazione.”",""
"Dott.ssa Kadowaki
“Incoraggia gli allievi.
 Come loro comandante, è tuo dovere.”",""
"“Tutti contano
 su di te.”",""
"Parla {Squall}
{NewPage}
«...Come state? So che è duro
 reggersi ancora in piedi dopo una
 battaglia simile, ma fatevi forza!»",""
"Dott.ssa Kadowaki
“Ci siamo scontrati
 con il Garden nemico.
 Ora sta a voi ragazzi!”",""
"#bgeat1a","155"
"Test",""
"“Grazie per
 l'aiuto.”",""
"“Il preside non sta qui. Stiamo
 proteggendo questa postazione
 per far credere che sia qui.”",""
"“Per quanto forti, se quei bastardi ci
 attaccano tutti insieme con i mostri,
 non ce la faremo a resistere.”",""
"“Ci siamo divisi in piccoli gruppi in
 modo da poter controllare ogni postazione.”",""
"“Mah, non l'ho deciso io.”",""
"Quistis
“E chi?”",""
"{Squall}
“E chi?”",""
"“Shu.”",""
"“È lei che ha preso il comando
 quando è successo tutto ciò.”",""
"“Il preside Cid
 non è neanche qui.”",""
"“Forza ragazzi, possiamo
 ancora farcela!”",""
"“Speriamo che questa guerra
 finisca presto.”",""
"“Tutto a posto?”",""
"“Ehi ragazzi, volete un panino?”",""
"Zell
“Sìiii! Magariii!!”",""
"“Hei, guarda che i panini......",""
"“Sono finiti.”",""
"“Ah, davvero?”",""
"“Mi dispiace, pare
 che siano finiti.”",""
"“Ah, sì, tieni questo!”",""
"Ottenuto: Erba Ghisal!",""
"#bg2f_31","144"
"{Var0}",""
"{Squall}",""
"Soldato di Galbadia",""
"{x0524} Pugno
{x0527} Guardia
{x0526} Calcio",""
"{x0525} Hissatsuken",""
"Squall {Var0}
Soldato di Galbadia {Var1}",""
"{Squall}
“Tutto bene?”",""
"“Sì.”",""
"{Squall}
“C'è una persona che ti sta
 aspettando qua avanti. Vai da lei!”",""
"(Cosa faccio?)
(Scappo)
(Insulto il nemico)
(Mi guardo attorno)",""
"{Squall}
“Brutto BASTARDOOOOO!!”",""
"(Provo a chiedere aiuto)
(Premo interruttore uscita d'emergenza)
(Provo a fuggire)
(Insulto il nemico)",""
"{Squall}
“Ehi ragazza!!”",""
"{Squall}
“Patetico bastardo!!
 Fatti sotto!”",""
"#bg2f_21","140"
"",""
"",""
"",""
"Matricola, classe MB
“Tieni questo!”",""
"Ottenuto: Cottage!",""
"Matricola, classe MG
“Aiuto nella distribuzione
 oggetti. Devo portare pozioni
 alla squadra d'attacco.”",""
"{Squall}
“Vai in aula!”",""
"Ragazza
“SONO IN RITARDO!”",""
"{Squall}
“Andate alla vostra postazione!”",""
"“Sissignore!”",""
"Matricola
“Maledetto esercito della strega!”",""
"Studentessa (ID #16)
“Tutto a posto?”
{NewPage}
“Non potrò mai perdonarli.
 Maledetti!”",""
"«Siate con me, ragazzi!
 È la nostra battaglia!!»",""
"#bgsido5a","255"
"",""
"",""
"",""
"Irvine
“Ehi, non sono anch'io con voi?”",""
"{Squall}
“Scusa.”",""
"Irvine
“Sono stufo di essere
 messo da parte.”",""
"Selphie
“Forza, è la battaglia finale!
 Il Garden e la strega.”",""
"Quistis
“Allora, cosa dobbiamo fare?”",""
"{Squall}
“Ognuno di noi prenderà
 il comando di un gruppo di
 alunni. Quando arriverà Zell,
 ci divideremo in 2 gruppi.”",""
"Selphie
“Zell sta dormendo!”
{NewPage}
“Ha detto che non è riuscito
 a dormire per niente.”",""
"Selphie
“Eh? A-Ah p-per quello...”",""
"{Squall}
“Di cosa state parlando?”",""
"Quistis
“È un segreto!”",""
"(Come facciamo? Non possiamo
 aspettarlo.)",""
"{Squall}
“Vado a vedere la situazione al
 {Blue}【giardino】{White}. Viene con me......”",""
"{Squall}
“Quistis, trova Zell e prendi il
 comando all'ingresso principale.”",""
"Quistis
“Ricevuto!”",""
"{Squall}
“Selphie, trova Zell e prendi il
 comando all'ingresso principale.”",""
"Selphie
“Ricevuto!”",""
"{Squall}
“Irvine, trova Zell e prendi il
 comando all'ingresso principale.”",""
"Irvine
“Ok!”",""
"{Squall}
“Abbiamo ancora tempo prima dell'attacco.
 Possiamo fare dopo il {Yellow}【controllo dei G.F.】{White}.”",""
"{Squall}
“Andiamo al {Blue}【giardino】{White}.
 Seguitemi!”",""
"Dott.ssa Kadowaki
“Com'è la situazione?”",""
"{Squall}
“Abbiamo fermato le ondate 1 e 2,
 ma molti allievi sono feriti.”
{NewPage}
“Non credo saremo in grado di
 resistere ad un nuovo attacco.”",""
"Dott.ssa Kadowaki
“E tu e gli altri?”",""
"Selphie
“Abbiamo resistito agli attacchi
 all'ingresso principale, ma non
 ce la faremo per molto ancora.”",""
"Quistis
“Non lo so, stanno facendo del
 loro meglio all'ingresso principale.”",""
"Irvine
“Abbiamo resistito agli attacchi
 all'ingresso principale, ma non
 ce la faremo per molto ancora.”",""
"Dott.ssa Kadowaki
“Siamo a questo punto, allora.”",""
"Quistis
“I loro soldati sono più preparati
 dei nostri.”
{NewPage}
“Disponiamo solo di alunni inesperti.
 Come ha detto {Squall}, non resisteremo
 ad un altro attacco.”",""
"(Forse non avremmo dovuto insistere
 così tanto sulla difesa......
 Avremmo dovuto attaccare subito.)",""
"Dott.ssa Kadowaki
“Seifer è con loro, vero?”",""
"Dott.ssa Kadowaki
“Avevi detto che non volevi
 scappare da lui, vero?”",""
"Dott.ssa Kadowaki
“Se vuoi far vedere chi sei,
 questo è il momento giusto!”",""
"Dott.ssa Kadowaki
“A cosa stai pensando?
 Non puoi tirarti indietro!”",""
"(Non mi tirerò indietro!)",""
"{Squall}
“Non voglio tirarmi indietro. Se
 attacchiamo, possiamo vincere.”
{NewPage}
“L'unico problema è come
 salire sul Garden nemico.”",""
"Irvine
“Gli andiamo addosso col Garden e ci
 saliamo sopra.”
{NewPage}
“Il Garden nemico ci sta addosso. Nida,
 con una manovra giusta potrebbe farcela.”",""
"{Squall}
“Non abbiamo altre possibilità.”",""
"{Squall}
“Dov'è {Rinoa}?”",""
"Zell
“Mi dispiace {Squall}, non
 possiamo raggiungerla.”
{NewPage}
“Quei bastardi hanno alzato
 delle barricate nel Garden.”",""
"Zell
“L'unico modo per raggiungerla
 è calarsi dall'alto in qualche
 modo.”",""
"({Rinoa}......)",""
"Irvine
“Ehi, non vorrai
 mica rinunciare?”",""
"Irvine
“Ti prego, dobbiamo provare
 ad aiutare {Rinoa}!”
{NewPage}
“Forse non servirà a niente,
 ma non possiamo arrenderci
 senza almeno provarci.”",""
"{Squall}
“Ma io devo guidare l'attacco......”",""
"Irvine
“Non mi interessa quello
 che devi fare tu.”
{NewPage}
“Ora {Rinoa} è in pericolo
 e tu la devi aiutare!”",""
"Quistis
“Vogliamo tutti bene a {Rinoa}.”",""
"Selphie
“{Rinoa} è una di noi...”",""
"Zell
“Non vuoi rivedere il viso di {Rinoa}?”
{NewPage}
“Devi salvarla, {Squall}!”",""
"Irvine
“Conosco bene il Garden di {Galbadia},
 guiderò io l'attacco.”",""
"Quistis
“Ti apriremo la strada perché
 tu possa raggiungerci dopo, {Squall}!”",""
"Dott.ssa Kadowaki
“Hai dimenticato il tuo
 compito più importante?”",""
"(Quale?)",""
"Dott.ssa Kadowaki
“Parlare ai tuoi uomini, incoraggiarli.
 Sei il loro comandante, è tuo dovere.”",""
"Nida
“In questo Garden
 tutti contano su di te.”",""
"#bgsido1a","250"
"",""
"",""
"",""
"({Rinoa}......)",""
"{Squall}
“Occupati di lei.”",""
"Quistis
“Cosa facciamo con {Rinoa}?”",""
"Selphie
“E {Rinoa}?”",""
"Irvine
“Cosa facciamo con {Rinoa}?”",""
"#bghall4a","173"
"",""
"",""
"",""
"2°piano 
3°piano",""
"«Irvine, Quistis, Zell e Selphie
 condurranno l'attacco»",""
"«Tutti gli altri siano loro di supporto»",""
"#bghall2a","169"
"Nida
“Ripeto: tornare in ascensore
 al {Blue}【ponte del 3°piano】{White}.”",""
"",""
"",""
"【Save Point】
Per salvare la situazione di gioco
scegliere ‘Salva' dal menu.",""
"Zell
“Non serve a niente andare di qua.”",""
"Ragazzo
“Vinceremo sicuramente!”",""
"Ragazzo
“Ehi {Squall}!
 Contiamo tutti su di te.”",""
"Ragazzo
“I ‘Save Point' sono
 attivi e funzionanti!”",""
"Ragazza squadra di difesa
“Sono emozionata di poter stare
 nella tua stessa squadra.”",""
"Ragazza squadra di difesa
“Forza, dobbiamo farcela!”",""
"Stratega
“I nemici entreranno dagli
 unici ingressi possibili:”
{NewPage}
“L'ingresso principale e il
 {Blue}【giardino】{White} della scuola.”",""
"#bgkote_4","187"
"",""
"",""
"",""
"Zell
“Maledizione, non ci arrivo!”",""
"Quistis
“Abbiamo bisogno di una corda.”",""
"Irvine
“Troviamo qualcosa per tirarla su!”",""
"Selphie
“Cerchiamo qualcosa per tirarla su!”",""
"Zell
“Tieni duro {Rinoa}, torniamo subito!”",""
"#bgsido_8","258"
"Evento in fase lavorativa",""
"Squall preme qualsiasi cosa",""
"Preside Cid
“I comandi non funzionano,
 non so cosa fare.”",""
"Preside Cid
“Di questo passo, andremo
 a sbattere contro {Balamb}!”",""
"Quistis
“Dobbiamo far evacuare
 tutti quanti.”",""
"Zell
“Uh...non scherziamo ragazzi!”",""
"{Rinoa}
“È terribile. Non c'è
 niente che possiamo fare?”",""
"Irvine
“Guardate!
 Si vede già la città.”",""
"Preside Cid
“{Squall}, non possiamo fare niente?”",""
"(Vorrei chiedertelo io......)",""
"Quistis
“{Squall}!”",""
"Zell
“{Squall}!!”",""
"{Rinoa}
“{Squall} ti prego!”",""
"Irvine
“Ci stiamo avvicinando,
 fate qualcosa!”",""
"(E cosa posso fare......)",""
"{Squall}
“Maledizione!!”",""
"Zell
“Aaahhhh!!
 E adesso che succede?”",""
"Quistis
“Cosa succede!?”",""
"{Rinoa}
“Cosa succede!?”",""
