"ger","Comment"
"Cifer
“Jetzt gibt{xba}s kein zurück mehr.”",""
"Cifer
“Hast du etwa Schiß?”",""
"Cifer
“Enttäusch mich nicht.”",""
"Quistis
“Beeilung, Beeilung!!”",""
"Garden Offizier
“Ihr seid die letzten!
 Steigt ein! Tempo!”",""
"Garden Offizier
“Beeilung! Laufschritt!”",""
"Garden Offizier
“Ihr seid also der B-Trupp...
 (Die Ausbilderin ist zu jung...)”",""
"Quistis
“Beeil dich, {Squall}!!”",""
"Xell
“He..hey!”",""
"Xell
“Schon wieder! Dieser Arsch!
 Er denkt nur an sich!!”",""
"{Squall}
“Es hilft nichts.
 Laßt uns zu Fuß gehen.”",""
"#bcmin2_3","118"
"Rotznase
“Scheiße, ist das langweilig...
 Ob Xell nicht bald kommt......?”",""
"Rotznase
“Hey, Xell!”",""
"Xell
“Na?
 Du Rotznase?”",""
"Rotznase
“Heute kümmert sich deine
 Mutter um mich!”",""
"“Nein nein, ich stelle
 nichts an. Sie ist sehr streng.”",""
"“Sie ist sooooooo
 stark und kräftig...”",""
"“...ich komme lange
 nicht gegen sie an.”",""
"Rotznase
“..................”",""
"Rotznase
“Schlafen ist langweilig!”",""
"Rotznase
“Heute war ich
 äußerst artig.”",""
"Rotznase
“......”",""
"“Ich hab nur einen Frosch mitgebracht.”",""
"“Ich hab auf einem Bild
 meine Unterschrift gesetzt.
 Dadurch steigt der Wert.”",""
"“Ach ja, ich habe etwas
 geniales mitgebracht!”",""
"“Es liegt unter deinem
 Kopfkissen, Xell!”",""
"Rotznase
“Das ist aber
 【Top Secret】,
 einverstanden?”",""
"Rotznase
“Das bleibt unter uns!!”",""
"Eine alte 【Timber Maniacs】...?
{Wait016}...{Wait016}...{Wait016}...{Wait016}......doch nicht!",""
"“Karten, Karten, Karten!!!!”
 Ok
 Nein",""
"“Du kennst die Balamb-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Galbadia-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Trabia-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Centra-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Dollet-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die F.H.-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Weltall-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"“Du kennst die Esthar-Regeln?
 Laß uns die mit unseren
 mixen und spielen!”",""
"Zum Spielen werden mindestens
5 Karten benötigt.",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"【Balamb】",""
"【Galbadia】",""
"【Trabia】",""
"【Centra】",""
"【Dollet】",""
"【F.H.】",""
"【Weltall】",""
"【Esthar】",""
"【Keine zusätzlichen Regeln.】",""
"#bcmin2_2","116"
"“......?”",""
"【Geschick-Plus】 erhalten!",""
"“Der kleine hat{xba}s hier versteckt!
 Der ist echt nicht schlecht!”",""
"#bcmin2_1","114"
"Xell
“Bin zu Haus!”",""
"Mutter Din
“Das ist ja was seltenes.
 Heute mit Freunden?”",""
"Xell
“Das ist meine Wohnung. Fühlt
 euch aber nicht wie zu Hause!”",""
"Mutter Din
“Paßt bitte gut auf Xell auf.”",""
"Mutter Din
“Ihr seid Xells Freunde?
 Ihr kommt also aus dem Garden?”",""
"{Squall}
“Xell......”",""
"“Falls du mal meinen Xell
 sehen solltest, kümmere
 dich bitte um ihn.”",""
"Mutter Din
“Hi, Xell. Hast du
 heute schulfrei?”",""
"Xell
“Nö, heute müssen wir
 draußen etwas erledigen.”",""
"Mutter Din
“Schau aber ab und zu vorbei.
 Nur um zu zeigen, wie{xba}s dir geht.”",""
"Mutter Din
“Die Rotznase ist zu Besuch.
 Sag ihm einfach hallo.
 Er mag dich richtig.”",""
"Mutter Din
“Fühlt euch wie zu Hause.”",""
"“Wie macht sich
 denn Xell?”",""
"Xell
“Tach, Alte!”",""
"“Hi,Xell. Du siehst ja
 noch kräftiger aus.”",""
"Xell
“Na klar.
 Jetzt komme ich ja um die Welt.”",""
"“Das ist zwar schön,
 aber......”",""
"“Aber hier in Balamb
 tobt mein Sohn herum...”
{NewPage}
“...damit er so wird
 wie du.”",""
"“Er sollte langsam aufhören...”
{NewPage}
“...mich immer
 【Alte】 zu nennen!”",""
"Xell
“Hey, Alte. Bin ich
 etwa daran Schuld?”",""
"Xell
“Oops... sorry,...{Wait016}
 ...Alte.”",""
"“Ich kann nicht sagen, daß
 das nicht deine Schuld ist.”",""
"“Oder tust du das
 absichtlich, Xell?”",""
"“Während ich arbeite,
 kümmert sich Din um
 meinen Sohn.”",""
"“Er ist sooooooooooooo
 frech und unerzogen!”",""
"Mutter Din
“Mit Rotznasen kenne ich mich
 blendend aus. Gell, Xell?”",""
"“Machen Sie sich bitte
 deswegen keine Sorgen.”",""
"“Ich weiß nicht,
 wie ich Ihnen dafür
 danken soll.”",""
"“Xell, mach nicht zu viel
 Mist, verstanden?”",""
"{Squall}
“......?”",""
"“Ein Frosch im
 Schirmständer?”",""
"Xell
“Scheiße. Meine Mutter kann
 Frösche nicht ausstehen!”",""
"{Squall}
“Das Bild......”",""
"“Jemand hat hier am Rand
 herumgeschmiert!”",""
"Xell
“Das war ein Kunstwerk
 aus meiner Kindheit!!”",""
"Xell
“Hey! {Squall}!!”",""
"“Das ist mein Zimmer!
 Niemand darf rein!
 Der Raum ist heilig!”",""
"Mutter Din
“Das ist Xells Zimmer.
 Geht lieber nicht rein.
 Xell rastet sonst aus.”",""
"Mutter Din
“Willkommen Zuhause, Xell.
 Wie geht es dir so?”",""
"Xell
“......”",""
"Mutter Din
“Balamb ist jetzt wieder
 so wie früher.”",""
"“...aber du scheinst noch
 etwas erledigen zu müssen.”",""
"Mutter Din
“Vielen Dank, daß ihr euch
 für Balamb eingesetzt habt.”",""
"Xell
“War Besuch für mich da?
 So eine mit Zöpfchen......”",""
"Mutter Din
“Was ist denn?{Wait056}
 Heute kam niemand.”",""
"Mutter Din
“Schon wieder neue Freunde?
 Ich freue mich, sie kennenzulernen.”",""
"Xell
“Hä...?”",""
"“Willst du spielen?”
 Ja
 Nein",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Balamb-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Galbadia-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Trabia-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Centra-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Dollet-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die F.H.-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Weltall-Regeln mixen.”",""
"“Du kennst Regeln, die hier
 nicht geläufig sind?
 Laß uns dann unsere und
 die Esthar-Regeln mixen.”",""
"Zum Spielen werden mindestens
5 Karten benötigt.",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"【Balamb】",""
"【Galbadia】",""
"【Trabia】",""
"【Centra】",""
"【Dollet】",""
"【F.H.】",""
"【Weltall】",""
"【Esthar】",""
"【Keine zusätzlichen Regeln.】",""
"#bcmin1_1","112"
"Mädchen
“Wir sprachen über die Welt.”",""
"Mädchen
“Schön......”",""
"Mädchen
“Ich würde gerne mal
 um die Welt reisen.”",""
"“Neuerdings zittern
 meine Hände...”",""
"“Deswegen kann ich jetzt
 nicht mehr so gut angeln.”",""
"“Früher konnte ich auch einen
 Balamb-Fisch angeln, den ich
 mit der Katze geteilt habe.”",""
"“Vor langer langer Zeit, als
 die Welt noch ganz jung war,
 gab es einen Gott namens 【Hyne】.”",""
"Mädchen
“Aha...”",""
"“Hyne war so stark, daß er jedes Monster
 besiegte, wurde aber eines Tages
 müde, so daß er den Menschen erschuf.”",""
"“Er ließ die Menschen schuften,
 und legte sich schlafen.”",""
"Mädchen
“Er ist eingeschlafen?”",""
"“Genau. Aber als er aus dem Schlaf
 erwachte, war er sehr erschrocken.
 Es gab viel viel mehr Menschen
 als er sich vorgestellt hatte.”",""
"Mädchen
“Stimmt. Es gibt viele Menschen.”",""
"“Nun kam Hyne auf die Idee,
 die Kinder auszulöschen”",""
"Mädchen
“Kinder...wie mich?”",""
"“Ja... ist das nicht furchbar?{Wait016}
 Die Menschen wurden alle wütend.”",""
"“Danach begann der Kampf gegen Hyne.
 Die Menschen waren zwar klein, haben
 durch ihre Klugheit jedoch Hyne besiegt.”",""
"Mädchen
“Stark!”",""
"“Hyne konnte jedoch fliehen,
 indem er die Hälfte seines
 Körpers den Menschen schenkte.”",""
"Mädchen
“Wie geht das denn?”",""
"“Hyne war ein Gott.{Wait016}
 Letztendlich hat er die
 Menschen hereingelegt.”",""
"“Die Hälfte, mit der er floh,
 besaß seine ganze Macht.”",""
"Mädchen
“Hm...{Wait032}
 Wo ist jetzt diese
 eine Hälfte?”",""
"“Eine gute Frage.
 Sie liegt vielleicht neben
 dir und beobachtet dich.”",""
"“Was soll ich dir das
 nächste Mal erzählen? Was
 lustiges oder gruseliges?”",""
"Mädchen
“Seid ihr die SEEDS?”",""
"“Macht bitte den
 Nachbarsjungen fertig!”",""
"“Er hat mich schon
 wieder geärgert!!”",""
"Junge
“Ich schaue mir die Weltkarte an.
 Ich mache mir darüber Gedanken,
 wie klein wir eigentlich sind.”",""
"“Schau dir das mal an.
 Der riesige Staat {Galbadia},
 das geheimnisvolle Land {Esthar}...”",""
"“Und {Centra}, das Land,
 das unterging...”",""
"Junge
“Was ist passiert, daß die
 Welt heute so aussieht?”",""
"Junge
“Ich will irgendwann die
 historischen Geheimnisse lüften.”",""
"Mädchen
“Ich würde gerne spielen,
 habe aber leider zu
 wenig Karten.”",""
"“Ich warte auf den Tag, an dem
 mein Vater mir seine Karten schenkt.”",""
"Rotznase
“Die Welt ist
 sooo riesig!”",""
"“Das letzte Mal kamen
 Leute aus {Galbadia}!”",""
"Rotznase
“Später werde ich wie Xell
 und kämpfe gegen Nationen!”",""
"Junge
“Da ist der Staat {Galbadia}, der
 letztens {Balamb} erobert hat.”",""
"“Habt ihr den riesigen
 {Galbadia}-Garden gesehen?”",""
"Junge
“Sowohl {Balamb}- als auch {Galbadia}-Garden
 waren fliegende Stützpunkte.”",""
"Mädchen
“Der {Galbadia}-Garden kam
 von so weit her...”",""
"Mädchen
“Ich hoffe, daß er nie wieder kommt.”",""
"Mädchen
“Meine Eltern
 arbeiten im Hotel.”",""
"“Ich hab beim Putzen geholfen.”",""
"Mädchen
“Besucht bitte das
 Hotel Balamb.”",""
"Alter Mann
“Egal wie, ich bin froh,
 daß niemandem was passiert ist.”",""
"“Euch ist auch nichts
 passiert? Ein Glück.”",""
"“Die Karten gehören meinem Vater.
 Aber ich kann auch mal spielen.”
 Ja
 Nein",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Balamb-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Galbadia-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Trabia-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Centra-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Dollet-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den F.H.-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Weltall-Regeln
 vermischen?”",""
"“Du kennst doch verschiedene
 Regeln? Wollen wir nicht
 unsere mit den Esthar-Regeln
 vermischen?”",""
"Zum Spielen werden mindestens
5 Karten benötigt.",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist in diesem
Gebiet jetzt Out.",""
"【Balamb】",""
"【Galbadia】",""
"【Trabia】",""
"【Centra】",""
"【Dollet】",""
"【F.H.】",""
"【Weltall】",""
"【Esthar】",""
"【Keine zusätzlichen Regeln.】",""
"#bchtl_1","108"
"Empfangsdame
“Willkommen im
 Balamb-Hotel.”",""
"“Eine Nacht macht 100 Gil.
 Wollen Sie übernachten?”
 Ja
 Nein",""
"Empfangsdame
“Sie haben leider nicht
 genügend Gil.”",""
"Hotelpage
“Wenn Sie etwas wünschen,
 sagen Sie bitte Bescheid.”",""
"“Na, Kumpel?
 Ist das nicht eine schöne Stadt?”",""
"“Hier würde ich gerne ein
 sorgenloses Rentnerleben führen.”",""
"“Meine Frau sollte auch hierher
 kommen... dann wird sie
 vielleicht etwas entspannter.”",""
"Empfangsdame
“Der Herr hier kommt aus {Galbadia}.”",""
"“Er hat mir erzählt, daß man
 dort alles bekommen kann.
 Nicht so wie in den Dörfern.”",""
"Empfangsdame
“...entschuldigung. Ich
 hatte meine Arbeit vergessen.”",""
"“Nächstes Mal bringe ich dir
 was mit. Du gefällst mir.”",""
"“Aber nur, wenn es Ihnen
 nichts ausmacht.”",""
"“Kommen Sie bitte das nächste
 Mal mit Ihrer Frau.”",""
"“Die Stadt wird ihr auch
 bestimmt gut gefallen.”",""
"“Wäre schön... aber ihr Leben
 besteht aus Verschwendung.”",""
"“Ich investiere gern. Ich
 würde auch in dich investieren.”",""
"“Karten? Die meisten Karten
 hat mir der Hotelier
 abgenommen.”",""
"“Er spielt wirklich klasse.”",""
"“Hey, {Squall},
 sieh dir das mal an....”",""
"“Hey, {Squall},
 Sieh dir das mal an....”",""
"Bücherdienst
“Ich wollte, daß du das liest...
 Gut, daß ich dich hier treffe.”",""
"Bücherdienst
“Ic... wo......, daß ...liest...
 Gut, ........dic......treffe.”",""
"Xell
“Ähm...ja... aber ich bin nicht
 der Typ, der ruhig da hockt
 und Bücher liest... ähm...”",""
"Xell
“Ä... ......ab... ich...nicht
 de... T... ...da... d...
 un... ... lie..........”",""
"Bücherdienst
“Ich weiß, ich weiß.
 Deswegen habe ich
 dieses Heft ausgesucht.”",""
"Bücherdienst
“Ich we......
 Des......hab......
 die...H.........ucht.”",""
"Xell
“Wow! Das ist doch...!”",""
"Bücherdienst
“Wenn du das Heft öffnest...
 nein... wenn du nur ab und zu...”",""
"Bücherdienst
“We......das He... öffne...
 nein... w... ... ab u...zu...”",""
"“...an mich denken
 könntest...”",""
"“...an... m... enken
 ...test......”",""
"“...wäre ich schon
 glücklich...”",""
"“W... ...ch scho...
 glü.........”",""
"Xell
“......”",""
"Bücherdienst
“Tut mir Leid, daß ich
 so was komisches sage.”",""
"Bücherdienst
“Tut......, ..ß......
 so w... kom....sage.”",""
"“Sei bitte
 vorsichtig.”",""
"“Sei... tte...
 ...sichtig......”",""
"Xell
“Hey, {Squall}!
 Laß uns los!”",""
"【Beat{xba}em Up 003】 erhalten!",""
"(Was reden sie? Ich verstehe nichts...)",""
"#bcgate_1","106"
"Fahrer
“So ne Schrottkarre!!
 Ausgerechnet hier......”
{NewPage}
“Jedesmal, wenn ich stark
 bremse, ist er im Arsch...”",""
"“Scheiße...!
 Alles wegen diesem Kerl, der
 auf die Straße gesprungen ist.”",""
"Fahrer
“Mist......”",""
"Autovermieterin
“Tut mir Leid......wir haben
 zur Zeit kein Auto verfügbar.”",""
"“Willst du dafür wissen, welche
 Vorzüge ein Mietwagen hat?”
 Ja.
 Das weiß ich schon.",""
"“Solange du im Auto bist, wirst
 du von den Feinden verschont.
 Also perfekt für Touristen!”",""
"“Aber die Autos brauchen Sprit.
 Ohne Sprit fahren sie nicht.”",""
"“Wenn ihr ein Auto mietet,
 werden wir es auch volltanken.
 Reservesprit gibt{xba}s im Laden.”",""
"“Passen Sie auf, daß Sie nicht
 gleich rückwärts fahren. Sonst
 landen Sie wieder in der Stadt.”",""
"Autovermieterin
“Wollen Sie einen Wagen mieten?
 Dann wird die Reise angenehmer.”",""
"“Welchen Wagen wollen Sie?
 Beide kosten 3500 Gil.”
 Blauer PKW.
 Klassischer Wagen.
 ...weder noch.",""
"“Sie haben nicht genügend Geld...”",""
"“Bist du ein Garden-Schüler?
 Wie sieht{xba}s aus mit dem Schulfest?”
{NewPage}
“Ich werde mit meiner Freundin
 beim Konzert mitmischen.”",""
"“Ich kann zwar alles, aber Balladen
 sind meine Stärke. Schau doch mit
 deiner Freundin mal vorbei.”",""
"“Ich muß allerdings noch
 Bandmitglieder finden.”",""
"“Wieso sind die SEEDS unterwegs?
 Gibt{xba}s hier irgendwo Krieg?”",""
"“Die Uniform sieht
 wirklich cool aus.”",""
"“Genau! Laß uns mit solchen
 Klamotten auf die Bühne!!”",""
"“Seid vorsichtig. Kommt alle
 heil wieder nach Balamb zurück.”",""
"Mechaniker
“Hey, du! Willst du
 nicht Mechaniker werden?”
{NewPage}
“Ich brauche einen fähigen
 Nachfolger. Der, den ich
 hatte, ist mir abgehauen.”
{NewPage}
“Man sollte es wenigstens einmal
 probiert haben. Vielleicht bist
 du ja ein begabter Mechaniker.”",""
"Mechaniker
“Ich hab zur Zeit einen Lehrling,
 suche aber noch einen zweiten.”
{NewPage}
“Willst du es nicht einmal probieren?”",""
"Lehrling
“Mein Chef wollte unbedingt einen
 Typen haben, der Xell hieß.”
{NewPage}
“Was für einer er wohl sein mag...
 Irgendwann will ich ihn kennenlernen.”",""
"Mechaniker
“Scheiße! Verhauen!”",""
"Xell
“Hey, alles in Ordnung?”",""
"Mechaniker
“Hey, Xell!!
 Gut, daß du da bist!”
{NewPage}
“Kannst du das Zeug dort
 herausnehmen? Es will
 nicht funktionieren.”",""
"Xell
“Na, klar.”",""
"Xell
“......fertig!”",""
"Mechaniker
“Hm...wenn du mein
 Lehrling wärst...”
{NewPage}
“In letzter Zeit denke
 ich oft darüber nach.”",""
"Xell
“Ha...das sagst du fast
 jedes Mal.”",""
"“Sorry, aber mein Werkzeug
 sind die Fäuste. Niemand
 kann sie mir nehmen.”",""
"Mechaniker
“Din macht sich
 auch Sorgen über
 deine Zukunft.”
{NewPage}
“Aber ich weiß, daß du
 irgendwann ein toller
 Kämpfer sein wirst.”",""
"Mechaniker
“Hi, Xell. Lange nicht gesehen.
 Wo warst du denn die ganze Zeit?”
{NewPage}
“In der Zwischenzeit habe
 ich einen neuen Lehrling.”",""
"Lehrling
“Wow! Schön dich
 kennenzulernen, Xell!”",""
"Lehrling
“Ich habe schon viel
 über dich gehört!”",""
"Xell
“Hä? was für
 Geschichten denn?”",""
"Mechaniker
“Ha Ha! Dir fallen doch
 bestimmt nur schlechte
 Sachen ein, stimmt's?”",""
"Lehrling
“Ich schätze deine
 Legenden, Xell.”",""
"Quistis
“Was für Legenden?”",""
"{Rinoa}
“Xell scheint ja eine Berühmtheit
 zu sein. Laß mal hören.”",""
"Selphie
“Was denn, was denn?
 Was hat er denn getan?”",""
"Irvine
“Laß mal hören, ob seine
 Legenden die phänomenalen
 Legenden von Irvine Kinneas
 übertreffen können.”",""
"Lehrling
“Mir gefällt die
 Klimmzuglegende am besten.”",""
"“Niemand außer Xell hat es
 geschafft, an dem Schild da
 oben 100 Klimmzüge zu machen.”",""
"Xell
“Tja. Ich trainiere
 ja nicht umsonst.”",""
"{Squall}
“............”",""
"Irvine
“Puh... du bist so dumm, daß
 dich die Chocobos beißen...”",""
"Quistis
“Ich wußte es...
 ich wußte es...aber...”",""
"{Rinoa}
“......{Wait056}typisch Xell.”",""
"Selphie
“Ähm...... Ok...”",""
"“Ich glaube, ich haaab
 da was nicht mitbekommen.”",""
"Lehrling
“Das ist eine Legende,
 die die ganze Stadt kennt.”",""
"Mechaniker
“Tja...
 So was wie den Xell gibt{xba}s
 nicht ein zweites Mal.”",""
"“Ein Glück, daß wir
 wieder zurück sind.”",""
"“Der Balamb-Garden fliegt,
 die Galbadianer greifen an...”",""
"“Was kommt jetzt? Hexen, Monster
 oder eine Naturkatastrophe?”",""
"Lehrling
“Die Galbadianer sind mit
 dem {Galbadia}-Garden geflohen.”",""
"“Ihr habt uns gerettet!
 Mein Chef freut sich auch
 bestimmt im Himmel!”",""
"Mechaniker
“Hey! Ich bin noch am
 Leben, verdammt!!”",""
"Lehrling
“Oh, Sie haben ja
 zugehört, sorry!”",""
"Lehrling
“Nun ja... jetzt kann ich
 sogar alle galbadianischen
 Autos reparieren.”",""
"“Immerhin weiß ich jetzt,
 was ich alles kann.”",""
"“Hi, Xell. Kennst du ein
 Mädchen mit Zöpfchen?”",""
"“Sie hat mich gefragt, wo du wohnst.
 Ob sie nicht was von dir will?”",""
"“Laß uns ne Runde spielen.”
 Ok
 Nein",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Balamb-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Galbadia-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Trabia-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Centra-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Dollet-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 F.H.-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Weltall-Regeln vermischen!”",""
"“Du kennst neue Regeln?
 Laß uns unsere und die
 Esthar-Regeln vermischen!”",""
"Zum Spielen werden mindestens
5 Karten benötigt.",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist jetzt Out.",""
"【Balamb】",""
"【Galbadia】",""
"【Trabia】",""
"【Centra】",""
"【Dollet】",""
"【F.H.】",""
"【Weltall】",""
"【Esthar】",""
"【Keine zusätzlichen Regeln.】",""
"#bcform_1","104"
"Bahnbeamter
“{Balamb} ist nur eine winzige
 Touristenstadt. Daher fahren
 nicht so viele Züge hierher.”
{NewPage}
“Mein Job ist zwar einfach......
 Aber ich sterbe vor Langeweile!
 Hoffentlich passiert bald etwas
 Aufregendes.”",""
"Bahnbeamter
“...z.B., daß eine schöne Frau mich
 immer nett begrüßt......”",""
"“Oder daß eine freundliche Dame
 einen selbstgebackenen Kuchen
 mitbringt...”",""
"“Auf so was warte ich
 schon die ganze Zeit!!”",""
"Bahnbeamter
“Ich weiß, daß es dir langweilig ist, aber
 du darfst trotzdem nicht schwänzen.”",""
"Bahnbeamter
“Wenn du mitfahren willst,
 steig bitte jetzt ein.”",""
"“Er fährt gleich los!”",""
"“Steig schon mal ein.”",""
"“Vorsicht beim Einsteigen.
 Ich wünsche eine angenehme Reise.”",""
"Bahnbeamter
“Mir ist schon wieder langweilig,
 aber jetzt macht es mir gar nichts aus.”",""
"“Der Vorfall hat mir gereicht.”",""
"“Hi, Xell. Kennst du
 ein Mädchen mit Zöpfchen?”",""
"“Sie wollte dich besuchen und
 fragte nach deiner Adresse.”",""
"Eine alte 【Timber Maniacs】 gefunden!
{Wait016}...{Wait016}...{Wait016}...{Wait016}......gelesen!!",""
