"eng","Comment"
"Galbadian Soldier
“...What?
 Information about Ellone?”",""
"“Hmmmm...
 More rumors?”",""
"“You know that we'll get a salary cut
 if we let'em through without confirmation.”",""
"“Yeah, I know...
 In this army your salary gets cut based
 on just how the boss is feeling...”",""
"“I guess it goes with the territory
 when you can't choose your own boss.”",""
"Zell
“Yo, listen!
 We have top secret info!
 Bring the {Red}commander{White} out here!”",""
"“These guys are kinda...
 suspicious, huh?”",""
"“Yeah, totally!”",""
"Galbadian Soldier
“Have some respect for the {Yellow}captain{White}!
 The {Yellow}captain{White} is currently on patrol!”",""
"Galbadian Soldier
“The {Yellow}captain{White} will be sure to reward you.”",""
"“He'll also take full responsibility...
 Go talk to the {Yellow}captain{White}!”",""
"Galbadian Soldier
“The {Yellow}captain{White} is currently on patrol!
 Go and find the {Yellow}captain{White}!”",""
"Galbadian Soldier
“You still haven't found the {Yellow}captain{White}!?”
Where the heck is he?
We found him",""
"“This is pretty bad...
 The {Red}commander{White}'s gonna realize
 the {Yellow}captain{White}'s nowhere to be found and...”",""
"Galbadian Soldier
“She'd throw a tantrum finding out that
 the {Yellow}captain{White}'s actually taking a nap
 instead of being on patrol like he said...”",""
"Galbadian Soldier
“The {Red}commander{White}'s freaky way of talking...
 Whaaa...
 Gives me the chills just thinkin' about it.”",""
"Galbadian Soldier
“I wonder where the {Yellow}captain{White} sleeps?”",""
"Galbadian Soldier
“There's no way he'd sleep
 behind the car again.”",""
"Galbadian Soldier
“Whoa!  NO WAY!
 You guys are AWESOME!”",""
"Galbadian Soldier
“I thought we'd have to
 send out the search dog again!”",""
"Galbadian Soldier
“You get pretty tired
 chasin' after the dog!”",""
"Galbadian Soldier
“Ok then, bring the {Yellow}captain{White}
 here for me.”",""
"Galbadian Soldier
“Hey, you!
 Stand back.  This could be dangerous!”",""
"“The {Red}commander{White}'s just about to...”",""
"“YEOW!”",""
"“Ouuuch...”",""
"Raijin
“F-Fujin...
 C-Control your temper, ya know?”
{NewPage}
“I was patrollin', just like ya told me.
 I even woke up that search dog,
 sleepin' on the job, ya know?”",""
"Raijin
“You guys help me
 out here!”",""
"“We've gotta calm Fujin
 down, ya know!?”",""
"Zell
“RAIJIN!!!”",""
"Raijin
“Wooooow!
 What are you guys doin' here!?”",""
"Zell
“We're here to liberate Balamb, ya know!?
 ...I mean...uhh...
 We're here to liberate Balamb!”",""
"Raijin
“Seifer told us to
 give you a whoppin'
 if we saw you, ya know!”",""
"Raijin
“You soldiers help me out, too!”",""
"Raijin
“I knew you'd come!
 {Squall}!”",""
"Zell
“RAIJIN!!!
 Liberate Balamb, NOW!”",""
"Raijin
“Nah, naaah!  You tell me what you
 know about Ellone, ya know!?”",""
"“Then, and only then, will we
 withdraw from Balamb, ya know!?”",""
"Zell
“Over my dead body!
 These are innocent people!”",""
"“Let me shake you awake
 with this fist o'mine!”",""
"Raijin
“...Uhh...
 That sounds painful, ya know?”",""
"Raijin
“But we're gonna go ahead
 as planned, ya know!?”",""
"“Dadata ta-tetaaa!  CHARGE!”",""
"Raijin
“Ugh...”",""
"Zell
“OHHHH YEAHHHH!
 The {Red}commander{White}'s gonna get a whoopin', too!”",""
"Galbadian Soldier
“The {Red}commander{White}'s pissed off 'cause the
 {Yellow}captain{White}'s still not back.”
{NewPage}
“She said she's going to
 lock the {Yellow}captain{White} out of the hotel.”",""
"Galbadian Soldier
“Man...
 I feel sorry for the {Yellow}captain{White}.”",""
"Galbadian Soldier
“It's not like you have ground breaking
 news about Ellone, right?”",""
"Galbadian Soldier
“Today's probably
 a bad day.”",""
"Galbadian Soldier
“But wow, the {Yellow}captain{White} set a
 new slacking-off record today.”",""
"Galbadian Soldier
“He must've found a
 new hideout for his naps.”",""
"“W-Wait!  HOLD ON!!!”",""
"Galbadian Soldier
“Ohh!  {Yellow}Captain{White}!”",""
"Raijin
“I overslept, ya know...”",""
"“So like...
 Is Fujin really mad...?”",""
"Galbadian Soldier
“Yes, {Yellow}captain{White}!
 The {Red}commander{White} is furious!”",""
"#bcform1a","105"
"Station Staff
“Understood, sir.  The food supply
 will be delivered to the hotel.”",""
"Station Staff
“It's the army's food supply.
 They cut off the town's food supply, and
 still, they make us deliver their food!”",""
"“I'm hungry too, you know!
 And I have to deliver food!?
 What's up with that?”",""
"Galbadian Soldier
“Yeah, that's right.
 Better not try to cheat us now.”",""
"“Listen up!”",""
"“Be sure to
 keep your eyes open!”",""
"Galbadian Soldier
“Sir!”",""
"Galbadian Soldier
“Sir!”",""
"Galbadian Soldier
“......”",""
"Galbadian Soldier
“(sigh...) (a big one...)”",""
"“There's gotta be a
 more efficient way
 to find this girl.”",""
"“Just gather everyone
 and tie'em up.  That's it.”",""
"“What?
 You gotta problem with that?”",""
"Galbadian Soldier
“Foreign food just doesn't cut it for me.
 I think about it every time I leave home.”",""
"“But boy, am I hungry...
 Feel like I can eat anything.
 Maybe there's some food on the train...”",""
"Galbadian Soldier
“C-{Yellow}Captain{White}...
 F...Fish...”",""
"“N...
 I feel...N-Numb...”",""
"Galbadian Soldier
“Ughhh...
 I thought it smelled funny...
 Ughhh...”",""
"“C...{Yellow}Captain{White}...
 How could you...?
 How could you do this to us...?”",""
"Station Staff
“Don't look at me!
 An important-looking Galbadian man came
 and offered the soldiers some fish.”",""
"Station Staff
“Hmmm... These symptoms appear to be
 caused by a ‘Badamb Fish'.  They're
 similiar in appearance to ‘Balamb Fish'.”",""
"“They should be all right
 in a few hours.{Wait048}
 ...But that man from Galbadia...”",""
"“He ate the same stuff, too!
 I wonder how he's feeling...?”",""
"Station Staff
“Yes?
 This person here?”",""
"“Sorry...
 I was pretty busy with my work so,
 I wasn't paying much attention.”",""
"Station Staff
“Perhaps he went to the
 Town Center.”",""
"“That's about the only place
 you can go from here.”",""
"Galbadian Soldier
“F-Flower fields...”",""
"Galbadian Soldier
“...Heeheehee...
 Grandmaaaa...!”",""
"Station Staff
“Was that...?”",""
"“That's the man!
 He's the one that brought the fish!”",""
"Station Staff
“...That man... He must
 have an iron stomach...”",""
"{Squall}
“It's Raijin!
 ...Come on!”",""
"(A freight train...?
 Too dark in here...)",""
"Zell
“Yo, {Squall}.
 Turn on the li...”",""
"“Wwwaaaahh!!!”",""
"“WWWWAAAAAA!!!
 W-W-What the...!!!???”",""
"{Squall}
“Who's there!?”",""
"Irvine
“Ouch!
 Let go of me!”",""
"Quistis
“EeeeeK!
 There's something here!”",""
"{Rinoa}
“AHH!  Let go!!!
 {Squall}!  Help!”",""
"Selphie
“Bwahhh!!!  A ghost!!!
 Bwahhh!!!”",""
"Zell
“You're all steppin' on me!
 C'mon!  Quit steppin' on me!”",""
"Raijin
“{Squall}!
 Attackin' while I'm asleep
 ain't fair, ya know!?”",""
"{Squall}
“...Are you the ones occupying
 Balamb?{Wait032}  Are Seifer and
 the sorceress with you?”",""
"Zell
“Whatever... So who's this {Yellow}captain{White} guy!?
 Where is he!?  HUH!?”",""
"Raijin
“The {Yellow}captain{White}...?{Wait016}
 That'd be me...ya know?”",""
"Raijin
“...Hmmm.  {Wait032}Anyway, gotta
 go tell Fujin that you guys
 are here, ya know?”",""
"“Gonna retreat for now, ya know!?”",""
"{Squall}
“Come on!”",""
"Station Staff
“You still can't find him?
 That's strange...”",""
"“Perhaps you should try
 the hotel again?”",""
"Station Staff
“When you lose the trail, return to the
 starting point.  That's the basic
 rule of thumb for searches.”",""
"Galbadian Soldier
“......”",""
"Station Staff
“Really!  Inside the train, eh!?
 So that's where he was hiding!”",""
"“It was terrible!
 The soldiers fell flat on the floor after
 eating the fish that man brought.”",""
"Station Staff
“The fish that man brought was
 ‘Badamb Fish', similar in
 appearance to ‘Balamb Fish'.”",""
"“...Wait a minute?  But that
 man ate the same fish, too.
 Why's he still fine...?”",""
"#bcsta1a","128"
"Galbadian Soldier
“What do you want?
 You shouldn't be walking out here.”",""
"“If you know anything, go to the hotel and
 report to the {Red}commander{White}.”",""
"Galbadian Soldier
“When will the town be released?
 Don't ask me such stupid questions!”",""
"“I know a mechanic who had his arm broken
 for asking the same question.”",""
"Galbadian Soldier
“Ughhh......
 I haven't eaten anything since yesterday
 with this upset stomach of mine...”
{NewPage}
“So hungry... Can't even walk straight...
 Uhhhhhh.......”",""
"Shop Staff
“Don't buy up too much.
 Use them wisely.”",""
"“Don't buy up too much.
 Use them wi...{Wait032}
 Oh, you're looking for someone?”",""
"“I heard before, there was someone sleeping
 behind one of the army vehicles...
 Is that what this is about?”",""
"Galbadian Soldier
“Come on!  Hurry!
 We're gonna be late for our shift!”",""
"“C'mon, man!  Let's go!
 The boss is gonna kill us!”",""
"Galbadian Soldier
“Man, I'm so out of shape now.
 I just wanna cut loose!”",""
"“I wish someone would come complain again.
 Then I'd knock that person out cold.”",""
"Galbadian Soldier
“All this topnotch training,
 and I can't even wreak havoc
 in this small, quiet town.”",""
"“I wish I could go to a big city
 like Timber and go nuts!”",""
"Galbadian Soldier
“The {Yellow}captain{White}?
 It's the {Yellow}captain{White}'s nap time now!”",""
"“...Oops, ahh...I mean...
 he's on patrol now!”",""
"“He's a very hard worker,
 always out patrolling!
 So don't bother him!”",""
"Galbadian Soldier
“...Well{Wait032}...aah...{Wait032} It's like this...”",""
"“...Raijin's the right hand man of Seifer,
 who's serving as the sorceress' knight.”",""
"“So, basically...
 we're nothing compared to him!”",""
"#bcmin23a","119"
"Zell
“Ma, you're safe!”",""
"Ma Dincht
“Zell!
 How on earth did you get into town!?”",""
"Zell
“It's all in the brains, ma.
 We just said we had some info on Ellone.
 Piece o'cake!”",""
"Ma Dincht
“What a relief...
 I was worried you might have
 beaten up one of the guards.”",""
"“The soldiers have threatened that the
 sorceress will burn the town to the ground,
 should there be any disturbance.”",""
"{Squall}
“Sorceress Edea?
 Is she here?”",""
"Ma Dincht
“I noticed a woman with the Galbadian army.
 Gray hair, patch over one eye...”",""
"{Squall}
“Must be Fujin.
 So they're here...?”",""
"Zell
“Leave it to me!
 I'll get rid of those jokers!”",""
"{Squall}
(...Could Seifer
 be here, too?)",""
"Ma Dincht
“They say the town will be released
 in several days.  I wonder if it's true?”",""
"“The whole town's on edge.
 The residents, the soldiers...”",""
"Ma Dincht
“Control yourself, Zell.
 It's not like you'll be able to
 resolve things by fighting.”",""
"Big Bad Rascal
“Yo, Zell!  I've been practicin' my
 special move just for a day like this!”",""
"“HYEEE-YAAA!
 SuuuPER-MIRACLE-KiiiCK!!!”",""
"Mother of Big Bad Rascal
“HEY!
 I've told you time and again not to
 act wild in people's houses!”",""
"Big Bad Rascal
“Don't worry.  It's my special move,
 so I'll use it only if I have to!”",""
"“Well, I'm off to
 check things out!”",""
"Mother of Big Bad Rascal
“That boy!
 I told him to stay inside!”",""
"Mother of Big Bad Rascal
“Zell, if you see my son,
 just drag him back here, please.”",""
"Mother of Big Bad Rascal
“Thank you for having us over
 during these troubled times.”",""
"“Zell, I'm sure the whole town is
 counting on you, but don't strain
 yourself or take any chances.”",""
"“But maybe just one SOCK
 in the nose might be good.”",""
"Zell
“Wait, wait, wait...
 I thought you were concerned about me!?”",""
"“Hah!  Just wait.
 I'll show'em what I'm all about!”",""
"Mother of Big Bad Rascal
“I'm worried about my boy...”",""
"Mother of Big Bad Rascal
“Peee-Uuuu!  What is this awful smell!?
 The stench is clogging my pores!”",""
"“Cards?  You're taking it easy, Zell...”
Yes
No",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Balamb's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Galbadia's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Trabia's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Centra's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Dollet's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 FH's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Lunar's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"“Balamb”",""
"“Galbadia”",""
"“Trabia”",""
"“Centra”",""
"“Dollet”",""
"“FH”",""
"“Lunar”",""
"“Esthar”",""
"“No optional rules”",""
"#bcmin21a","115"
"Zell
“Ma, I'm home!”",""
"“Huh?”",""
"Ma Dincht
“Just now, a man came in and
 asked if he could use the kitchen...”",""
"“I think he cooked some fish.
 The whole room is filled
 with this strange odor.”",""
"Ma Dincht
“Must've been pretty bad fish
 to give off this odor.
 I wonder if he's really going to eat it?”",""
"“Said he was going to eat with
 his men.
 Hope nothing happens to them...”",""
"Ma Dinght
“Can't play cards with all this smoke.
 Maybe later.”",""
"Zell
“Yo, {Squall}!”",""
"“That's my room up there!
 It's sacred!  You can't go in!”",""
"{Squall}
“...{Wait016}
 All right...”",""
"Zell
“We can't stay at the hotel...
 Aaah, I guess we have no choice!”",""
"“Let's just go to my room and rest.”",""
"Zell
“It's not like I'm inviting you guys, ok!?
 It's 'cause we have no choice!”",""
"Ma Dincht
“The smoke and that odor
 are finally gone.
 You don't smell it, do you?”",""
"“Why don't you rest up a bit?”",""
"“Cards?  You're taking it easy, Zell...”
Yes
No",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Balamb's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Galbadia's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Trabia's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Centra's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Dollet's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 FH's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Lunar's rules and ours.”",""
"“You know rules
 unfamiliar to this region?
 Then, let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"#bcport2a","124"
"Galbadian Soldier
“This town is lame...
 No bars... Can't even play cards...”",""
"“I tried to pick up one of the locals,
 but the {Red}commander{White} gave me the evil eye.”",""
"“The {Red}commander{White} is one mean woman...”",""
"“Woman?
 Fujin...?”",""
"Galbadian Soldier
“I've been told to use this dog
 to find Ellone.”",""
"“But without her scent to go by,
 what can we do?”",""
"Galbadian Soldier
“How am I supposed to find proof that
 Ellone got off at this harbor...?”",""
"“All I see is my reflection on the water...
 ...Ahhh!!!”",""
"“...Ooops... I dropped a Gil...”",""
"Galbadian Soldier
“...Oh man...
 I need every Gil...”",""
"Galbadian Soldier
“Oh, the {Yellow}captain{White}?
 Yeah, he was just fishing here.”",""
"“He caught a few
 and got really excited.”",""
"“Said he was gonna eat'em right away.”",""
"Galbadian Soldier
“Ahhh!  You scared me!
 For a second, I thought you were my boss.”",""
"Galbadian Soldier
“All I do is just crouch all day
 and look for clues.”",""
"“Ellone's possessions...
 Some scent for the dog to go by...”",""
"Galbadian Soldier
“Hey, excuse me, but
 could you stop sneaking up on me?
 I keep thinking it's my boss.”",""
"“By the way, your stealth skills...
 They're pretty awesome.”",""
"“You idiots!
 What scent did you have the dog sniff!?”",""
"Galbadian Soldier
“Finally, our shift is almost over.
 The dog's done for today, too.”",""
"“Another hard day's work.
 Gotta go feed the dog.”",""
"Galbadian Soldier
“Boy... Searching for people
 sure is tough...”",""
"“You think so, too?
 Well, why don't you go back to the hotel?
 You never know, the {Yellow}captain{White} might be there.”",""
"#bcport1a","121"
"Garden Student
“Hey, {Squall}.
 How's it going?”",""
"{Squall}
“What are you
 doing here?”",""
"Garden Student
“Ditching.  Getting a little R & R.  I'm
 tired, y'know.  I need a vacation.”",""
"Quistis
“My goodness.  You sound like an old man.
 ...I guess I'll let you off this time.”",""
"“Next time, I'm going to report you for sure.”",""
"Garden Student
“Hey Instructor, won't you have a seat?
 I could really use the company.”",""
"Quistis
“Alright... While we're at it, we can go
 over the test you flunked the other day.”",""
"Garden Student
“Hmmm...what's my
 next class?”",""
"“Man!
 Pisses me off!”",""
"“Knowin' a guy 5 or 10 years
 doesn't mean a thing.
 I still can't figure him out.”",""
"“...Oh well.
 Can't help it if we have
 different tastes in music.”",""
"“Man...”",""
"“I wish he'd just let me in on it.
 I'd rock that Garden Festival stage,
 blow the roof off, y'know.”",""
"“But that fool's all about show.
 He thinks my looks just don't cut it.”",""
"“He doesn't know
 what he's missing.”",""
"“Tch...
 I don't give anymore...”",""
"“...Wait a minute.”",""
"“Does that fool know
 how to play
 anything?”",""
"“Don't tell me
 he's plannin' on singing!?”",""
"“Our dog used to be
 with the army.”",""
"“They released him because
 he has a terrible sense of smell.”",""
"“He can't smell, {Wait048}but
 he sure can run.  I'm always
 exhausted after I walk him.”",""
"“...There, there.  Good boy.”",""
"“My sister and I take
 turns walking him.”",""
"“But lately, she's been
 really lazy and making
 me do all the work.”",""
"“She snuck out of the house
 again today to go play.”",""
"“If she keeps this up,
 he's probably gonna forget
 who she is.”",""
"“I better make sure
 she takes him tomorrow.”",""
"“Phew, I'm
 getting tired.”",""
"“Hey, have you heard?”",""
"“Mrs. Dincht's son is
 going to take the SeeD exam.”",""
"“Really...?  I wonder if that
 rowdy boy can handle it?”",""
"“Does Mrs. Dincht
 know about this?”",""
"“The chances Zell will pass the exam
 is probably around 50%.  At least
 that's what my son said.”",""
"“The exam doesn't just test
 physical abilities, right?”",""
"“Right.  It also
 emphasizes teamwork.”",""
"“On top of that, composure,
 focus, proper decision making
 and much more.”",""
"“Oh my...
 I doubt he can handle it.”",""
"“I don't think Mrs. Dincht will say
 anything to him, even if she knew.”",""
"“I guess all we can do is
 wish him luck.”",""
"“Hey, have you heard?”",""
"“Mrs. Dincht's son passed
 the SeeD exam.”",""
"“Really?  I wonder how in the world
 that rowdy boy passed.”",""
"“Does Mrs. Dincht know?”",""
"“Since Zell passed, the chances
 my son will pass is probably
 near 100%.”",""
"“The exam didn't just test
 physical abilities, right?”",""
"“Right.  My son told me
 Zell had good students on
 his team... Oh well...”",""
"“I wonder how long he'll last.
 After all, SeeDs are expected to have
 composure and focus and make proper
 decisions.”",""
"“Oh my...
 I doubt he can handle it.”",""
"“I don't think Mrs. Dincht will say
 anything to him, even if she knew.”",""
"“I guess all we can do is
 wish him luck.”",""
"Big Bad Rascal
“No way!”",""
"“I never get
 caught!”",""
"“I'm not givin' up
 so easily...!”",""
"“...Yo!
 Zell!”",""
"Zell
“Man, what did you do now?
 Who's after you?”",""
"Big Bad Rascal
“Hey, I gotta do what I gotta do
 or they'll die.”",""
"{x1202}“...?”",""
"Zell
“What are you talkin' about...?”",""
"Big Bad Rascal
“I gotta save 'em and
 take 'em back to the sea.”",""
"Zell
“...Hey!”",""
"“What the...?”",""
"“I got a bunch of
 kids waiting for
 me back home.”",""
"{Squall}
“...In the sea?”",""
"Big Bad Rascal
“Alright.”",""
"“That's all I
 gotta say.”",""
"“See ya.”",""
"Mother of Big Bad Rascal
“Not so fast!”",""
"Big Bad Rascal
“Crap!”",""
"Mother of Big Bad Rascal
“Ok, come on, where
 did you hide them?”",""
"Big Bad Rascal
“...”",""
"Mother of Big Bad Rascal
“Hey!”",""
"“Come back here!”",""
"Mother of Big Bad Rascal
“That's it!
 No dinner for you!”",""
"Mother of Big Bad Rascal
“Ohhh, I can't believe him.  He took
 all the crabs I bought for dinner.”",""
"“It was for my husband, too.
 He's coming home today.”",""
"Garden Student
“Hey, {Squall}.
 How's it going?”",""
"{Squall}
“You're here
 again?”",""
"Garden Student
“I got nowhere to go.  I went back the
 other day and the Garden was gone.”",""
"Garden Student
“I guess that's what I get for ditching
 too many times, eh...?  Oh well...”",""
"“What?  Oh, you wanna play cards?”
Yes
No",""
"“Sure, I'll play.  You ready?”
Yes
No",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Balamb's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 FH's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“I heard you know rules
 that aren't in this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Balamb's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Trabia's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Centra's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Dollet's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 FH's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Lunar's rules and ours.”",""
"“So, you do know rules
 that aren't in this region.
 Ok, let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"“Balamb”",""
"“Galbadia”",""
"“Trabia”",""
"“Centra”",""
"“Dollet”",""
"“FH”",""
"“Lunar”",""
"“Esthar”",""
"“No optional rules”",""
"You need 5 or more
cards to play.",""
"#bcgate1a","107"
"Hotel Owner's Wife
“I don't know what to do!
 What's happening to this town!?
 When can we go in!?”",""
"Hotel Owner's Wife
“If I knew this was going to happen,
 I would have brought my daughter with me!”",""
"“I hope she's
 all right...”",""
"“...Ohh...I hope grandpa's
 taking care of her...”",""
"Hotel Owner's Wife
“I'm still very worried.
 Oh, please watch over her for me.”",""
"Hotel Owner
“We were forced out of town days ago.
 Our daughter's still at home, but
 there's nothing we can do.”",""
"“With all these soldiers from Galbadia,
 you've got to stop and wonder whether
 Galbadia fell to the hands of the sorceress.”",""
"Hotel Owner
“I wonder how the town's holding up...?
 Was it just a lie, about liberating the
 town in a few days?”",""
"Hotel Owner
“I'm so relieved, after hearing from the
 big bad rascal that my daughter is safe.”",""
"“I wish I could be with her.
 I'm worried about grandpa, too.”",""
"Galbadian Soldier
“This town is under the control of
 Sorceress Edea!”",""
"“The town is off-limits
 while we conduct our investigation!
 It will last for several days!”",""
"“Once we're through with our investigation
 here, you're next.
 So just stay out and stay put!”",""
"“You guys look suspicious.
 What are you doing here?”",""
"{Squall}
“...What's Galbadia doing
 in a town like this?”",""
"Zell
“...There ain't nothin'
 here in this little town!”",""
"Galbadian Soldier
“What do you want?{Wait016}
 Are you residents here?”",""
"Zell
“YEAH, that's right!
 At least residents
 should be allowed in!”",""
"Zell
“Hold up, man!
 I live here!
 Residents should be allowed in!”",""
"Galbadian Soldier
“It's OFF-LIMITS!
 You cannot enter or leave.
 Do you understand!?”",""
"Zell
“Hah!?
 Who do you think you're talkin' to?”",""
"Galbadian Soldier
“What?
 What is it now?”",""
"{Squall}
“You said the town was off-limits...”",""
"{Squall}
“...Does that mean we can't
 deliver a message, either?”",""
"“...That's too bad.{Wait016}
 We have some info on Ellone...”",""
"Galbadian Soldier
“W-What?{Wait056}  Elle...{Wait056} Wait a minute!”",""
"Galbadian Soldier
“Tell me everything you know about her!
 Do you actually know who she is?”",""
"{Squall}
“Kind of...
 But we need to get inside
 to confirm something.”",""
"Galbadian Soldier
“......”",""
"Galbadian Soldier
“If you find out any information at all,
 go talk to the {Red}commander{White}.
 She's staying at the hotel!”
{NewPage}
“You will be rewarded.”",""
"Galbadian Soldier
“What?
 The {Yellow}captain{White}?”",""
"“There's no way the {Yellow}captain{White}
 would be walking around town!”",""
"“So, have you found out anything?
 Have you met the {Red}commander{White}?”",""
"Galbadian Soldier
“You need authorization to leave town!”",""
"“If you guys want to leave town,
 you better go report on Ellone!”",""
"Zell
“What the hell!?{Wait032}
 What's goin' on here!?”",""
"{Squall}
“What is this...?{Wait032}
 Galbadia?”",""
"Zell
“Yo...!
 What's goin' on in there!?”",""
"Hotel Owner
“Cards!?
 This isn't the time for that!”",""
"Galbadian Soldier
“HUH!?  What are you guys doin' out there!?”
You let us out!
The {Red}commander{White} let us out from the station",""
"“Oh really...?”",""
"“Oh... Ok then...”",""
"#bcmin11a","113"
"“Since her parents are away,
 I'm packing her bags, so that she'll
 be able to stay next door.”",""
"“Don't know what will become of Balamb...
 I'm sure the sorceress and Galbadia don't
 give a rotten hoot 'bout this here town.”",""
"“They'll be back soon.
 See?  Even Zell's back.”",""
"“Don't worry.
 They'll be back soon.”",""
"“Mommy and daddy haven't
 come back...”",""
"“I can't take it!
 I can't take it anymore!”",""
"“Mommy...daddy...
 I miss you...”",""
